N364/10	2	N364/10.1, N364/10.2
N18/30	5	N18/30.1, N18/30.3, N18/30.5, N18/30.2, N18/30.4
N486/32	5	N486/32.1, N486/32.5, N486/32.3, N486/32.4, N486/32.2
N257/25	3	N257/25.1.2, N257/25.1.3, N257/25.1.4
N229A/32	10	N229A/32.6, N229A/32.8, N229A/32.10, N229A/32.5, N229A/32.3, N229A/32.9, N229A/32.4, N229A/32.6, N229A/32.1, N229A/32.2
N341/37	2	N341/37.1, N341/37.2
L23/27	6	L23/27.1, L23/27.2, L23/27.3, L23/27.5, L23/27.4, L23/27.6
K88/64	3	K88/64.1, K88/64.2, K88/64.3
N377/20	2	N377/20.1, N377/20.3
L11A/41	3	L11A/41.6, L11A/41.1, L11A/41.2
N367/51	2	N367/51.1, N367/51.2
N106/36	1	N106/36.1
N452/73	3	N452/73.1, N452/73.1, N452/73.2
N195A/16	3	N195A/16.1.1, N195A/16.1.3, N195A/16.1.2
N279B/27	5	N279B/27.1, N279B/27.2, N279B/27.3, N279B/27.5, N279B/27.4
N419/78	3	N419/78.1, N419/78.5, N419/78.4
N245/1	1	N245/1.1
N425/45	2	N425/45.4, N425/45.7
N167/7	3	N167/7.4, N167/7.2, N167/7.1
K89/34	5	K89/34.1, K89/34.3, K89/34.4, K89/34.5, K89/34.2
L86A/37	2	L86A/37.1, L86A/37.2
N442/28	3	N442/28.1.1, N442/28.1.3, N442/28.1.2
N85/18	3	N85/18.1, N85/18.2, N85/18.3
L127/12	5	L127/12.2, L127/12.5, L127/12.3, L127/12.4, L127/12.1
L48A/9	5	L48A/9.1, L48A/9.4, L48A/9.5, L48A/9.3, L48A/9.2
N55/10	5	N55/10.1, N55/10.3, N55/10.5, N55/10.2, N55/10.4
N398A/34	3	N398A/34.1, N398A/34.2, N398A/34.3
N124B/38	2	N124B/38.1.3, N124B/38.1.4
N289/16	3	N289/16.2, N289/16.4, N289/16.3
N415/24	5	N415/24.1, N415/24.3, N415/24.2, N415/24.4, N415/24.5
L76/36	1	L76/36.3
N138/6	3	N138/6.1, N138/6.2, N138/6.3
N432/21	2	N432/21.1, N432/21.3
N270/47	3	N270/47.1, N270/47.2, N270/47.3
N164/6	3	N164/6.1, N164/6.2, N164/6.4
N119/44	3	N119/44.1, N119/44.3, N119/44.2
N403/63	3	N403/63.1, N403/63.2, N403/63.3
N64A/36	3	N64A/36.1, N64A/36.2, N64A/36.3
