sample_name	plate_location	trimmer_id	volume	concentration	comments	amplicon_concentration	lib_concentration	failure	inline_index_name	inline_index	index_name	i7	i5	LCs.Reported	HCs.Reported
NA	NA	K91/36.2	NA	NA	NA	NA	NA	NA	01-SMARTindex	NA	NA	NA	NA	1	1
NA	NA	L20/8.2	NA	NA	NA	NA	NA	NA	02-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	L28/4.1	NA	NA	NA	NA	NA	NA	03-SMARTindex	NA	NA	NA	NA	1	1
NA	NA	L43/40.1	NA	NA	NA	NA	NA	NA	04-SMARTindex	NA	NA	NA	NA	1	1
NA	NA	L111/118.3	NA	NA	NA	NA	NA	NA	05-SMARTindex	NA	NA	NA	NA	1	1
NA	NA	L114/3.3	NA	NA	NA	NA	NA	NA	06-SMARTindex	NA	NA	NA	NA	1	1
NA	NA	L114/81.7.1	NA	NA	NA	NA	NA	NA	07-SMARTindex	NA	NA	NA	NA	1	1
NA	NA	L122/6.2	NA	NA	NA	NA	NA	NA	08-SMARTindex	NA	NA	NA	NA	1	1
NA	NA	N28/9.1	NA	NA	NA	NA	NA	NA	09-SMARTindex	NA	NA	NA	NA	1	1
NA	NA	N263/31.1	NA	NA	NA	NA	NA	NA	10-SMARTindex	NA	NA	NA	NA	1	1
NA	NA	N486/32.1	NA	NA	NA	NA	NA	NA	11-SMARTindex	NA	NA	NA	NA	1	1
NA	NA	N149/25.1	NA	NA	NA	NA	NA	NA	12-SMARTindex	NA	NA	NA	NA	1	1
NA	NA	N15/4.1	NA	NA	NA	NA	NA	NA	13-SMARTindex	NA	NA	NA	NA	1	1
NA	NA	N15/39.1	NA	NA	NA	NA	NA	NA	14-SMARTindex	NA	NA	NA	NA	1	1
NA	NA	N148/30.1.1	NA	NA	NA	NA	NA	NA	15-SMARTindex	NA	NA	NA	NA	1	1
NA	NA	N67/15.1	NA	NA	NA	NA	NA	NA	16-SMARTindex	NA	NA	NA	NA	1	1
NA	NA	N173B/13.1	NA	NA	NA	NA	NA	NA	17-SMARTindex	NA	NA	NA	NA	1	1
NA	NA	N271/44.1	NA	NA	NA	NA	NA	NA	18-SMARTindex	NA	NA	NA	NA	1	1
NA	NA	K75/41.1	NA	NA	NA	NA	NA	NA	19-SMARTindex	NA	NA	NA	NA	1	1
NA	NA	N106/65.1	NA	NA	NA	NA	NA	NA	20-SMARTindex	NA	NA	NA	NA	1	1
NA	NA	K14/16.2	NA	NA	NA	NA	NA	NA	21-SMARTindex	NA	NA	NA	NA	1	1
NA	NA	N144/32.1	NA	NA	NA	NA	NA	NA	22-SMARTindex	NA	NA	NA	NA	1	1
NA	NA	N147/6.1	NA	NA	NA	NA	NA	NA	23-SMARTindex	NA	NA	NA	NA	1	1
NA	NA	N117/95	NA	NA	NA	NA	NA	NA	24-SMARTindex	NA	NA	NA	NA	1	1
NA	NA	N143/38.2	NA	NA	NA	NA	NA	NA	25-SMARTindex	NA	NA	NA	NA	1	1
NA	NA	N143/36.11	NA	NA	NA	NA	NA	NA	26-SMARTindex	NA	NA	NA	NA	1	1
NA	NA	N144/17.2	NA	NA	NA	NA	NA	NA	27-SMARTindex	NA	NA	NA	NA	1	1
NA	NA	NA	NA	NA	NA	NA	NA	NA	28-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	29-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	30-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	31-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	32-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	33-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	34-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	35-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	36-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	37-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	38-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	39-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	40-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	41-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	42-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	43-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	44-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	45-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	46-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	47-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	48-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	49-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	50-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	51-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	52-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	53-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	54-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	55-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	56-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	57-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	58-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	59-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	60-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	61-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	62-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	63-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	64-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	65-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	66-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	67-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	68-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	69-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	70-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	71-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	72-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	73-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	74-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	75-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	76-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	77-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	78-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	79-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	80-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	81-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	82-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	83-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	84-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	85-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	86-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	87-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	88-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	89-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	90-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	91-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	92-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	93-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	94-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	95-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	96-SMARTindex	NA	NA	NA	NA	NA	NA
NA	NA	K28/43.2	NA	NA	NA	NA	NA	NA	K28-43	NA	NA	NA	NA	NA	1
NA	NA	K39/25.3	NA	NA	NA	NA	NA	NA	K39-25	NA	NA	NA	NA	1	1
NA	NA	K58/35.4	NA	NA	NA	NA	NA	NA	K58-35	NA	NA	NA	NA	1	1
NA	NA	L109/57.1	NA	NA	NA	NA	NA	NA	L109-57	NA	NA	NA	NA	1	1
NA	NA	SP2/0	NA	NA	NA	NA	NA	NA	SP2-0	NA	NA	NA	NA	NA	NA
