sample_name	plate_location	trimmer_id	volume	concentration	comments	amplicon_concentration	failure	inline_index_name	inline_index	LCs.Reported	HCs.Reported
P35_A1	A1	positivecontrol1_L42/17.1	15.6	20		NA	NA	NA	NA	1	NA
P35_B1	B1	N164/51.1	30.2	20		NA	NA	NA	NA	1	1
P35_C1	C1	N191/46.1	17.7	20		NA	NA	NA	NA	1	1
P35_D1	D1	N158/32.1	19.3	20		NA	NA	NA	NA	NA	1
P35_E1	E1	N154/37.1	26.4	20		NA	NA	NA	NA	NA	1
P35_F1	F1	N182/6.1	40.7	20		NA	NA	NA	NA	1	1
P35_G1	G1	N202/38.1	25.1	20		NA	NA	NA	NA	1	1
P35_H1	H1	N193A/9.1	46.4	20		NA	NA	NA	NA	NA	NA
P35_A2	A2	N165/64.1	14.4	20		NA	NA	NA	NA	1	1
P35_B2	B2	N164/13.1	27.3	20		NA	NA	NA	NA	NA	1
P35_C2	C2	N191/6.1	18.7	20		NA	NA	NA	NA	1	1
P35_D2	D2	N158/30.1	16.5	20		NA	NA	NA	NA	1	1
P35_E2	E2	N144/14.1	71.9	20		NA	NA	NA	NA	1	1
P35_F2	F2	N182/11.1	16.8	20		NA	NA	NA	NA	1	1
P35_G2	G2	N176A/36.1	19.5	20		NA	NA	NA	NA	1	NA
P35_H2	H2	N195A/44.3.1	12.5	20		NA	NA	NA	NA	1	1
P35_A3	A3	N165/56.1	10	19.8	[RNA]<20ng/Âµl	NA	NA	NA	NA	1	1
P35_B3	B3	N171/10.5	28.9	20		NA	NA	NA	NA	1	1
P35_C3	C3	N196/22.1	10	16.7	[RNA]<20ng/Âµl	NA	NA	NA	NA	1	1
P35_D3	D3	N144/35.2	18.5	20		NA	NA	NA	NA	1	1
P35_E3	E3	N147A/35.1	17.8	20		NA	NA	NA	NA	1	1
P35_F3	F3	N175/5.7	10	18.8	[RNA]<20ng/Âµl	NA	NA	NA	NA	NA	NA
P35_G3	G3	N176A/3.1	50.1	20		NA	NA	NA	NA	1	1
P35_H3	H3	N174A/15.1	33.6	20		NA	NA	NA	NA	1	1
P35_A4	A4	N165/58.2	10	18.2	[RNA]<20ng/Âµl	NA	NA	NA	NA	1	1
P35_B4	B4	N171/11.1	25.8	20		NA	NA	NA	NA	1	1
P35_C4	C4	N196/12.1	10	18.9	[RNA]<20ng/Âµl	NA	NA	NA	NA	1	1
P35_D4	D4	N144/18.1	24	20		NA	NA	NA	NA	1	1
P35_E4	E4	N147A/13.1	10.5	20		NA	NA	NA	NA	NA	NA
P35_F4	F4	N175/18.1	10	10.9	[RNA]<20ng/Âµl	NA	NA	NA	NA	NA	NA
P35_G4	G4	N176A/24.1	49.3	20		NA	NA	NA	NA	1	1
P35_H4	H4	N244/19.1	69.7	20		NA	NA	NA	NA	1	1
P35_A5	A5	N359/47.1	40.8	20		NA	NA	NA	NA	1	1
P35_B5	B5	N171/23.1	11.5	20		NA	NA	NA	NA	1	1
P35_C5	C5	N196/41.1	24.8	20		NA	NA	NA	NA	1	1
P35_D5	D5	N158/15.2	18.4	20		NA	NA	NA	NA	1	1
P35_E5	E5	N147A/32.1	12.3	20		NA	NA	NA	NA	1	NA
P35_F5	F5	N167/13.1	65.6	20		NA	NA	NA	NA	1	1
P35_G5	G5	N176A/12.1	29.9	20		NA	NA	NA	NA	1	1
P35_H5	H5	N174B/8.1	30.3	20		NA	NA	NA	NA	2	1
P35_A6	A6	N356/22.1	18.9	20		NA	NA	NA	NA	1	1
P35_B6	B6	N164/1.2	14.9	20		NA	NA	NA	NA	1	1
P35_C6	C6	N196/44.1	18.4	20		NA	NA	NA	NA	1	1
P35_D6	D6	N144/31.1	38.3	20		NA	NA	NA	NA	1	1
P35_E6	E6	N147A/34.1	32.7	20		NA	NA	NA	NA	1	1
P35_F6	F6	N183/27.1	53.1	20		NA	NA	NA	NA	2	1
P35_G6	G6	N193A/10.1	17.8	20		NA	NA	NA	NA	NA	NA
P35_H6	H6	N194/8.1	16.3	20		NA	NA	NA	NA	1	1
P35_A7	A7	N356/75.1	24.3	20		NA	NA	NA	NA	1	1
P35_B7	B7	N171/33.1	21.8	20		NA	NA	NA	NA	1	1
P35_C7	C7	N196/45.1	31.2	20		NA	NA	NA	NA	1	1
P35_D7	D7	N144/6.1	33.3	20		NA	NA	NA	NA	1	1
P35_E7	E7	N159/2.1	38.4	20		NA	NA	NA	NA	1	1
P35_F7	F7	N167/2.6	42.5	20		NA	NA	NA	NA	2	NA
P35_G7	G7	N174A/6.1	10	18.8	[RNA]<20ng/Âµl	NA	NA	NA	NA	1	1
P35_H7	H7	N194/13.1	17.7	20		NA	NA	NA	NA	1	1
P35_A8	A8	N326D/14.1	41	20		NA	NA	NA	NA	1	1
P35_B8	B8	N166A/5.1	14.2	20		NA	NA	NA	NA	1	1
P35_C8	C8	N196/3.1	11.2	20		NA	NA	NA	NA	1	1
P35_D8	D8	N144/16.1	15.7	20		NA	NA	NA	NA	1	1
P35_E8	E8	N160/18.1	57.4	20		NA	NA	NA	NA	1	1
P35_F8	F8	N183/4.5	54.9	20		NA	NA	NA	NA	1	1
P35_G8	G8	N144/22.1	26	20		NA	NA	NA	NA	1	1
P35_H8	H8	N194/17.1	49.4	20		NA	NA	NA	NA	1	1
P35_A9	A9	N165/67.1	18.6	20		NA	NA	NA	NA	1	1
P35_B9	B9	N166A/8.1	20.9	20		NA	NA	NA	NA	1	1
P35_C9	C9	N196/9.1	38.4	20		NA	NA	NA	NA	1	1
P35_D9	D9	N144/10.1	23.2	20		NA	NA	NA	NA	1	1
P35_E9	E9	N147/11.1	35.6	20		NA	NA	NA	NA	NA	NA
P35_F9	F9	N183/13.1	55.4	20		NA	NA	NA	NA	1	1
P35_G9	G9	N390/25.1	57.6	20		NA	NA	NA	NA	1	NA
P35_H9	H9	N194/23.1	37.1	20		NA	NA	NA	NA	1	1
P35_A10	A10	N164/11.2	12.9	20		NA	NA	NA	NA	NA	NA
P35_B10	B10	N166A/17.2	13.5	20		NA	NA	NA	NA	1	1
P35_C10	C10	N196/14.1	32.1	20		NA	NA	NA	NA	1	1
P35_D10	D10	N144/5.1	24.7	20		NA	NA	NA	NA	1	1
P35_E10	E10	N147/21.1	20.6	20		NA	NA	NA	NA	NA	NA
P35_F10	F10	N183/29.1	37.2	20		NA	NA	NA	NA	1	NA
P35_G10	G10	N202/44.1	28.8	20		NA	NA	NA	NA	NA	1
P35_H10	H10	N195/1.1.1	30.2	20		NA	NA	NA	NA	1	1
P35_A11	A11	N164/3.1	30.9	20		NA	NA	NA	NA	1	NA
P35_B11	B11	N166A/52.1	23.6	20		NA	NA	NA	NA	1	1
P35_C11	C11	N158/9.1	29.8	20		NA	NA	NA	NA	NA	1
P35_D11	D11	positivecontrol2	10	10.9	[RNA]<20ng/Âµl	NA	NA	NA	NA	NA	NA
P35_E11	E11	N155/26.1	16.9	20		NA	NA	NA	NA	1	1
P35_F11	F11	N194/5.1	28	20		NA	NA	NA	NA	1	1
P35_G11	G11	N195A/22.1	22.6	20		NA	NA	NA	NA	1	1
P35_H11	H11	negativecontrol1	10	10.8	[RNA]<20ng/Âµl	NA	NA	NA	NA	NA	NA
P35_A12	A12	N164/7.1	15.8	20		NA	NA	NA	NA	1	1
P35_B12	B12	N191/6.2	24.6	20		NA	NA	NA	NA	1	1
P35_C12	C12	N158/19.1	19.6	20		NA	NA	NA	NA	1	1
P35_D12	D12	N154/30.1	21.6	20		NA	NA	NA	NA	1	1
P35_E12	E12	N155/18.1	30.6	20		NA	NA	NA	NA	1	1
P35_F12	F12	N202/33.1	25.3	20		NA	NA	NA	NA	NA	NA
P35_G12	G12	N144/3.1	21.7	20		NA	NA	NA	NA	1	1
P35_H12	H12	negativecontrol2	10	10.8	[RNA]<20ng/Âµl	NA	NA	NA	NA	NA	NA
