SMARTindex	TrimmerID	SafeID
01-SMARTindex	K91/36	K91_36
02-SMARTindex	L20/8	L20_8
03-SMARTindex	L28/4	L28_4
04-SMARTindex	L43/40	L43_40
05-SMARTindex	L111/118	L111_118
06-SMARTindex	L114/3	L114_3
07-SMARTindex	L114/81	L114_81
08-SMARTindex	L122/6	L122_6
09-SMARTindex	N28/9	N28_9
10-SMARTindex	N263/31	N263_31
11-SMARTindex	N486/32	N486_32
12-SMARTindex	N149/25.1	N149_25_1
13-SMARTindex	N015/4.1	N015_4_1
14-SMARTindex	N015/39.1	N015_39_1
15-SMARTindex	N148/30.1.1	N148_30_1_1
16-SMARTindex	N067/15.1	N067_15_1
17-SMARTindex	N173B/13.1	N173B_13_1
18-SMARTindex	N271/44.1	N271_44_1
19-SMARTindex	K075/41.1	K075_41_1
20-SMARTindex	N106/65.1	N106_65_1
21-SMARTindex	K014/16.2	K014_16_2
22-SMARTindex	N144/32.1	N144_32_1
23-SMARTindex	N147/6.1	N147_6_1
24-SMARTindex	N117/95	N117_95
25-SMARTindex	N143/38.2	N143_38_2
26-SMARTindex	N143/36.11	N143_36_11
27-SMARTindex	N144/17.2	N144_17_2
28-SMARTindex	NA	NA
29-SMARTindex	NA	NA
30-SMARTindex	NA	NA
31-SMARTindex	NA	NA
32-SMARTindex	NA	NA
33-SMARTindex	NA	NA
34-SMARTindex	NA	NA
35-SMARTindex	NA	NA
36-SMARTindex	NA	NA
37-SMARTindex	NA	NA
38-SMARTindex	NA	NA
39-SMARTindex	NA	NA
40-SMARTindex	NA	NA
41-SMARTindex	NA	NA
42-SMARTindex	NA	NA
43-SMARTindex	NA	NA
44-SMARTindex	NA	NA
45-SMARTindex	NA	NA
46-SMARTindex	NA	NA
47-SMARTindex	NA	NA
48-SMARTindex	NA	NA
49-SMARTindex	NA	NA
50-SMARTindex	NA	NA
51-SMARTindex	NA	NA
52-SMARTindex	NA	NA
53-SMARTindex	NA	NA
54-SMARTindex	NA	NA
55-SMARTindex	NA	NA
56-SMARTindex	NA	NA
57-SMARTindex	NA	NA
58-SMARTindex	NA	NA
59-SMARTindex	NA	NA
60-SMARTindex	NA	NA
61-SMARTindex	NA	NA
62-SMARTindex	NA	NA
63-SMARTindex	NA	NA
64-SMARTindex	NA	NA
65-SMARTindex	NA	NA
66-SMARTindex	NA	NA
67-SMARTindex	NA	NA
68-SMARTindex	NA	NA
69-SMARTindex	NA	NA
70-SMARTindex	NA	NA
71-SMARTindex	NA	NA
72-SMARTindex	NA	NA
73-SMARTindex	NA	NA
74-SMARTindex	NA	NA
75-SMARTindex	NA	NA
76-SMARTindex	NA	NA
77-SMARTindex	NA	NA
78-SMARTindex	NA	NA
79-SMARTindex	NA	NA
80-SMARTindex	NA	NA
81-SMARTindex	NA	NA
82-SMARTindex	NA	NA
83-SMARTindex	NA	NA
84-SMARTindex	NA	NA
85-SMARTindex	NA	NA
86-SMARTindex	NA	NA
87-SMARTindex	NA	NA
88-SMARTindex	NA	NA
89-SMARTindex	NA	NA
90-SMARTindex	NA	NA
91-SMARTindex	NA	NA
92-SMARTindex	NA	NA
93-SMARTindex	NA	NA
94-SMARTindex	NA	NA
95-SMARTindex	NA	NA
96-SMARTindex	NA	NA
