sample_name	trimmer_id	PlateName	SeqYear	Dropout? Missing	Dropout resolution	Category	ShowOnWeb	ProteinTarget	ChangeDate	ChangeReason
P65_H2	10% N48676.1 + 30% L120/12.1 + 60% L71/5.5 cells	plate65	Year1	n/a-n/a			F		20200619	Mixed sample
P65_H7	10% N48676.1 + 30% L120/12.1 + 60% L71/5.5 RNA	plate65	Year1	n/a-n/a			F		20200619	Mixed sample
P2_E4	1D8.1	plate2	Year1	n/a-n/a		1	T	LRRK2/Dardarin	20201109	Removed "Restricted clone" status
P71_E1	1D8.4	plate71	Year2	n/a-n/a		3	T	LRRK2/Dardarin	20201109	
P71_E2	1D8.5	plate71	Year2	n/a-n/a		3	T	LRRK2/Dardarin	20201109	
P73_E2	1F1.1.1.15	plate73	Year2			3	T	TrpC1	20210312	
P73_E3	1F1.1.1.18	plate73	Year2			3	T	TrpC1	20210312	
P1_H1	1F1.1.1.5	plate1	Year1	n/a-n/a		1	F	TrpC1	20201009	Plate failed to yield seq so redone as Plate1R
P1R_H1	1F1.1.1.5	plate1R	Year2	n/a-n/a		1	T	TrpC1	20201109	Removed "Restricted clone" status
P73_E6	1F1.1.1.5	plate73	Year2			1	T	TrpC1	20210312	
P65_H5	20% N486/76.1 + 70% L120/12.1 + 10% L71/5.5 cells	plate65	Year1	n/a-n/a			F		20200619	Mixed sample
P65_H10	20% N486/76.1 + 70% L120/12.1 + 10% L71/5.5 RNA	plate65	Year1	n/a-n/a			F		20200619	Mixed sample
P65_H1	25% N486/76.1 + 25% L120/12.1 + 50% L71/5.5 cells	plate65	Year1	n/a-n/a			F		20200619	Mixed sample
P65_H6	25% N486/76.1 + 25% L120/12.1 + 50% L71/5.5 RNA	plate65	Year1	n/a-n/a			F		20200619	Mixed sample
P65_H4	60% N486/76.1 + 10% L120/12.1 + 30% L71/5.5 cells	plate65	Year1	n/a-n/a			F		20200619	Mixed sample
P65_H9	60% N486/76.1 + 10% L120/12.1 + 30% L71/5.5 RNA	plate65	Year1	n/a-n/a			F		20200619	Mixed sample
P2_E3	62-3G1.1	plate2	Year1	n/a-n/a		1	T	GABA(A)R, Beta2/3	20201109	Removed "Restricted clone" status
P71_E3	62-3G1.2	plate71	Year2	n/a-n/a		3	T	GABA(A)R, Beta2/3	20201109	
P71_E4	62-3G1.3	plate71	Year2	n/a-n/a		3	T	GABA(A)R, Beta2/3	20201109	
P65_H3	80% N486/76.1 + 10% L120/12.1 + 10% L71/5.5 cells	plate65	Year1	n/a-n/a			F		20200619	Mixed sample
P65_H8	80% N486/76.1 + 10% L120/12.1 + 10% L71/5.5 RNA	plate65	Year1	n/a-n/a			F		20200619	Mixed sample
P74_G6	8G10 + N268/19.2	plate74	Year2				F		20210312	Mixed sample
P74_H6	8G10 + N268/19.2	plate74	Year2				F		20210312	Mixed sample
P73_C9	8G10.1	plate73	Year2			1	T	LRRK2/Dardarin	20210312	
P1_D6	A12/18.1	plate1	Year1	n/a-n/a		1	F	Pan-Neurofascin	20201009	Plate failed to yield seq so redone as Plate1R
P10_H10	A12/18.1	plate10	Year1	n/a-n/a		1	F	Pan-Neurofascin	20201109	Plate failed to yield seq so redone as Plate10R
P10R_H10	A12/18.1	plate10R	Year2	Dec2020dropout-Both	n/a, have good sequence for same subclone elsewhere	1	T	Pan-Neurofascin	20201109	Removed "Restricted clone" status
P1R_D6	A12/18.1	plate1R	Year2	n/a-n/a		1	T	Pan-Neurofascin	20201009	
P73_D10	A12/18.1	plate73	Year2			1	T	Pan-Neurofascin	20210312	
P73_F3	A12/18.1	plate73	Year2			1	T	Pan-Neurofascin	20210312	
P71_F11	cells_20% N486/76.1 + 20% L71/5.5 + 20% L130/1.1 + 20% N470/22.1 + 20% N100/13.1	plate71	Year2	n/a-n/a			F		20201109	Mixed sample
P71_F8	cells_25% N486/76.2 + 25% N100/13.1 + 25% N470/22.1 + 25% L130/1.1	plate71	Year2	n/a-n/a			F		20201109	Mixed sample
P71_F9	cells_25% N486/76.2 + 25% N100/13.1 + 25% N470/22.1 + 25% L71/5.5	plate71	Year2	n/a-n/a			F		20201109	Mixed sample
P71_F3	cells_50% L71/5.5 + 10% N486/76.1 + 40% N100/13.1	plate71	Year2	n/a-n/a			F		20201109	Mixed sample
P71_F10	cells_50% N100/13.1 + 50% N470/22.1	plate71	Year2	n/a-n/a			F		20201109	Mixed sample
P71_F5	cells_50% N470/22.1 + 50% L130/1.1	plate71	Year2	n/a-n/a			F		20201109	Mixed sample
P71_F1	cells_50% N486/76.1 + 50% N100/13.1	plate71	Year2	n/a-n/a			F		20201109	Mixed sample
P71_F6	cells_60% N100/13.1 + 20% N486/76.1 + 20% N470/22.1	plate71	Year2	n/a-n/a			F		20201109	Mixed sample
P71_F2	cells_75% N486/76.1 + 25% L71/5.5	plate71	Year2	n/a-n/a			F		20201109	Mixed sample
P71_F4	cells_80% N100/13.1 + 20% L130/1.1	plate71	Year2	n/a-n/a			F		20201109	Mixed sample
P71_F7	cells_80% N470/22.1 + 10% L71/5.5 + 10% L130/1.1	plate71	Year2	n/a-n/a			F		20201109	Mixed sample
P66_H9	D3/71.1	plate66	Year1	n/a-n/a		2	T	Kv2.1 K+ channel	20200619	
Psanger_128612	D3/71R	Sanger_samples		n/a-n/a		6	T	Kv2.1 K+ channel	20200617	Added Psanger to Addgene ID # for "sample_name"
P65_D12	D4/104.3	plate65	Year1	Dec2020dropout-Both	n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)	2	F	Kv2.1 K+ channel	20201009	No show on web because expecting better seq from AP or DP plate
PDP1_A4	D4/104.3	plateDP1	Year2	n/a-n/a		2	T	Kv2.1 K+ channel	20201009	
P1_E6	D4/11.2	plate1	Year1	n/a-n/a		2	F	Kv2.1 K+ channel	20201009	Plate failed to yield seq so redone as Plate1R
P1R_E6	D4/11.2	plate1R	Year2	n/a-n/a		2	T	Kv2.1 K+ channel	20201009	
P71_A6	D4/11.4	plate71	Year2	n/a-n/a		2	T	Kv2.1 K+ channel	20201109	
P71_A7	D4/11.5	plate71	Year2	n/a-n/a		2	T	Kv2.1 K+ channel	20201109	
