sample_name	trimmer_id	PlateName	Category	ShowOnWeb	ProteinTarget	ChangeDate	ChangeReason
None	N127/31.1R	Sanger_samples	6	T	Pan-SAPAP	20200605	
None	N133/21.2R	Sanger_samples	6	T	RGS14	20200605	
None	N135/37.2R	Sanger_samples	6	T	JIP-2/IB-2	20200605	
None	N147/6.1R	Sanger_samples	6	T	Pan-QKI	20200605	
None	N149/25.1R	Sanger_samples	6	T	Olig1	20200605	
None	N150/21.3R	Sanger_samples	6	T	Doc2b	20200605	
None	N151/3.3R	Sanger_samples	6	T	GABA(A)R, Delta	20200605	
None	N153/5.1R	Sanger_samples	6	T	Mitofusin-2	20200605	
None	N164/6.1R	Sanger_samples	6	T	LRP4	20200605	
None	N168/6.3R	Sanger_samples	6	T	Navbeta4 Na+ channel	20200605	
None	N16B/8R	Sanger_samples	6	T	Kv3.1b K+ channel	20200605	
None	N170A/1.1R	Sanger_samples	6	T	Neurexin-1-Beta	20200605	
None	N171/17.4R	Sanger_samples	6	T	INPP4b	20200605	
None	N176A/35.1R	Sanger_samples	6	T	S100A5	20200605	
None	N178A/9.1R	Sanger_samples	6	T	Cav3.1 Ca2+ channel	20200605	
None	N182/17.1R	Sanger_samples	6	T	QKI-6	20200605	
None	N195A/16R	Sanger_samples	6	T	QKI-5	20200605	
None	N196/16R	Sanger_samples	6	T	PARIS/ZNF746	20200605	
None	N2/16R	Sanger_samples	6	T	Slo3 K+ channel	20200605	
None	N205B/22R	Sanger_samples	6	T	LRRTM4	20200605	
None	N206B/9R	Sanger_samples	6	T	GFAP	20200605	
None	N212/17R	Sanger_samples	6	T	TRIP8b	20200605	
None	N212/3R	Sanger_samples	6	T	TRIP8b (exon 4)	20200605	
None	N222/6R	Sanger_samples	6	T	Clcn4	20200605	
None	N230/21R	Sanger_samples	6	T	MMACHC	20200605	
None	N235/22R	Sanger_samples	6	T	Pan-FHF-A	20200605	
None	N23B/49R	Sanger_samples	6	T	Pan-Shank	20200605	
None	N244/5R	Sanger_samples	6	T	SynCAM4	20200605	
None	N268/19R	Sanger_samples	6	T	TRPML3/Mucolipin-3	20200605	
None	N269/73R	Sanger_samples	6	T	Synaptotagmin-10	20200605	
None	N277/7R	Sanger_samples	6	T	Synaptotagmin-12	20200605	
None	N278/19R	Sanger_samples	6	T	Synaptotagmin-3	20200605	
None	N28/9R	Sanger_samples	6	T	VGlut1	20200605	
None	N289/16R	Sanger_samples	6	T	SUR1	20200605	
None	N29/29R	Sanger_samples	6	T	VGlut2	20200605	
None	N291C/22R	Sanger_samples	6	T	TRIP8b (exon 1a-5)	20200605	
None	N295B/66R	Sanger_samples	6	T	Arl13b	20200605	To be added soon
