	trimmer_id	Dropout? Missing	Dropout Resolution
0	10% N48676.1 + 30% L120/12.1 + 60% L71/5.5 RNA	['n/a-n/a']	[nan]
1	10% N48676.1 + 30% L120/12.1 + 60% L71/5.5 cells	['n/a-n/a']	[nan]
2	1D8.1	['n/a-n/a']	[nan]
3	1D8.4	['n/a-n/a']	[nan]
4	1D8.5	['n/a-n/a']	[nan]
5	1F1.1.1.15	[nan]	[nan]
6	1F1.1.1.18	[nan]	[nan]
7	1F1.1.1.5	['n/a-n/a', 'n/a-n/a', nan]	[nan, nan, nan]
8	20% N486/76.1 + 70% L120/12.1 + 10% L71/5.5 RNA	['n/a-n/a']	[nan]
9	20% N486/76.1 + 70% L120/12.1 + 10% L71/5.5 cells	['n/a-n/a']	[nan]
10	25% N486/76.1 + 25% L120/12.1 + 50% L71/5.5 RNA	['n/a-n/a']	[nan]
11	25% N486/76.1 + 25% L120/12.1 + 50% L71/5.5 cells	['n/a-n/a']	[nan]
12	60% N486/76.1 + 10% L120/12.1 + 30% L71/5.5 RNA	['n/a-n/a']	[nan]
13	60% N486/76.1 + 10% L120/12.1 + 30% L71/5.5 cells	['n/a-n/a']	[nan]
14	62-3G1.1	['n/a-n/a']	[nan]
15	62-3G1.2	['n/a-n/a']	[nan]
16	62-3G1.3	['n/a-n/a']	[nan]
17	80% N486/76.1 + 10% L120/12.1 + 10% L71/5.5 RNA	['n/a-n/a']	[nan]
18	80% N486/76.1 + 10% L120/12.1 + 10% L71/5.5 cells	['n/a-n/a']	[nan]
19	8G10 + N268/19.2	[nan, nan]	[nan, nan]
20	8G10.1	[nan]	[nan]
21	A12/18.1	['n/a-n/a', 'n/a-n/a', 'Dec2020dropout-Both', 'n/a-n/a', nan, nan]	[nan, nan, 'n/a, have good sequence for same subclone elsewhere', nan, nan, nan]
22	D3/71.1	['n/a-n/a']	[nan]
23	D3/71R	['n/a-n/a']	[nan]
24	D4/104.3	['Dec2020dropout-Both', 'n/a-n/a']	['n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)', nan]
25	D4/11.2	['n/a-n/a', 'n/a-n/a']	[nan, nan]
26	D4/11.4	['n/a-n/a']	[nan]
27	D4/11.5	['n/a-n/a']	[nan]
