,stars-mean,stars-mean,stars-max,stars-max,stars-min,stars-min,stars-std,stars-std,stars-count,stars-count
chain-,Heavy,Light,Heavy,Light,Heavy,Light,Heavy,Light,Heavy,Light
entry__mabid-,,,,,,,,,,
12CA5,1.9197530864197532,0.5995609909062402,1.9197530864197532,0.9181561618062088,1.9197530864197532,0.05644402634054563,,0.4726991410774452,1.0,3.0
1D8,1.9658312123551485,1.8463914701498059,1.9834710743801653,1.9422750424448216,1.9541356330850648,1.6995367306419589,0.015544867387582333,0.12914726833930623,3.0,3.0
1F1,1.4137459521435836,1.3816887209396411,1.9238095238095239,1.9731543624161074,0.45569620253164556,0.24675324675324675,0.6770488406250632,0.7765102520749005,4.0,4.0
62-3G1,1.975439582876583,1.8792262164231641,1.9946476360392507,1.9705215419501134,1.9655620532813516,1.8237274707862943,0.01663691027876027,0.07967541139575134,3.0,3.0
8G10,1.9692307692307693,1.5249266862170088,1.9692307692307693,1.5249266862170088,1.9692307692307693,1.5249266862170088,,,1.0,1.0
8G10 + N268/19,2.4153571260468394,1.3895767249351032,3.4389366881700614,1.7465759527404705,0.5880583748336349,0.9795918367346939,1.5863007881693123,0.3152346689057438,3.0,4.0
A12/18,4.250768718620684,4.200704219744749,4.32111684340725,4.289167961618112,4.153952664302771,4.092017536247896,0.07906503274643042,0.09323268877530738,4.0,4.0
D3/71,3.127150849320551,3.083109674551005,3.127150849320551,3.083109674551005,3.127150849320551,3.083109674551005,,,1.0,1.0
D3/71R,2.0,2.0,2.0,2.0,2.0,2.0,,,1.0,1.0
D4/104,1.86818854930516,1.8296387197881643,2.311243353210474,2.7265620383401528,1.3688251492669954,1.3486051651066446,0.4045747796145344,0.7774409996212206,4.0,3.0
D4/11,4.179129824028703,4.146998015629811,4.191013851824555,4.160884026957429,4.1676033945463615,4.1328797662815315,0.011709324699097252,0.014003574717713711,3.0,3.0
D4/112,3.096338238217386,2.4631899440741307,3.096338238217386,2.9204231342177174,3.096338238217386,2.005956753930544,,0.6466253786681764,1.0,2.0
D4/133,2.12201134979851,1.0354860855402335,2.7454361088793107,1.4209590380364445,1.4985865907177092,0.34643887400996737,0.8816557494112477,0.5981357653459025,2.0,3.0
D4/135,2.026659829714089,,2.026659829714089,,2.026659829714089,,,,1.0,
D4/152,3.88048651930677,2.9189577848181423,4.227648972987706,3.7686995559972596,3.440519828481876,1.502473716759431,0.40168711997837797,1.2348451368133448,3.0,3.0
D4/154,3.7604664354813027,2.6953295807239117,3.7688452794615572,4.08674184340725,3.7520875915010476,0.4568340089087696,0.011849474793884334,1.5478519345232933,2.0,5.0
D4/16,3.0782881506031394,3.118815690701522,3.0908678239265144,3.124466324628329,3.065708477279764,3.1131650567747147,0.017790344624140038,0.007991203135296285,2.0,2.0
D4/194,2.207787215975889,2.065331197928039,2.207787215975889,2.065331197928039,2.207787215975889,2.065331197928039,,,1.0,1.0
D4/27,3.323572659191196,3.4715282202174453,3.774974496040028,3.7844398594926627,2.4281994738215564,2.851119563448678,0.7754248247563583,0.5372964782850143,3.0,3.0
D4/40,4.035542198512286,4.044329768187196,4.129083960107353,4.124943185902547,3.889035593632192,3.9724075334968423,0.1284903129811896,0.0766383312089257,3.0,3.0
D4/49,3.3683379787212946,2.3094362909364343,3.806829474188505,2.768641128470542,2.576346158706915,1.5590638929621121,0.6872002306539606,0.521639455648153,3.0,4.0
D4/67,1.6283300607459819,1.079934937578088,2.4064147752947846,1.3823366434818465,1.2075197476704755,0.31788721216119686,0.5477374184035146,0.36331767957449057,4.0,8.0
D43/43,2.0032459913341616,2.2559693028810024,2.0032459913341616,2.2559693028810024,2.0032459913341616,2.2559693028810024,,,1.0,1.0
EA7,0.6868932038834952,1.2255737511546358,0.8511326860841424,1.9099437148217635,0.5226537216828478,0.3776169047153199,0.23226970320528995,0.779151374512096,2.0,3.0
EMPTY,1.7878787878787878,1.7446808510638299,1.7878787878787878,1.7446808510638299,1.7878787878787878,1.7446808510638299,,,1.0,1.0
