,stars-mean,stars-mean,stars-max,stars-max,stars-min,stars-min,stars-std,stars-std,stars-count,stars-count
chain-,Heavy,Light,Heavy,Light,Heavy,Light,Heavy,Light,Heavy,Light
entry__mabid-,,,,,,,,,,
12CA5,1.9197530864197532,0.8711194731890874,1.9197530864197532,0.9181561618062088,1.9197530864197532,0.8240827845719662,,0.06651992297145315,1.0,2.0
1D8,1.9658312123551482,1.8463914701498059,1.9834710743801653,1.9422750424448216,1.9541356330850648,1.6995367306419589,0.015544867387582333,0.12914726833930623,3.0,3.0
1F1,1.7330958686808964,1.3816887209396413,1.9238095238095239,1.9731543624161074,1.4177215189873418,0.24675324675324675,0.2751117658939395,0.7765102520749005,3.0,4.0
62-3G1,1.975439582876583,1.8792262164231641,1.9946476360392507,1.9705215419501134,1.9655620532813516,1.8237274707862943,0.01663691027876027,0.07967541139575134,3.0,3.0
8G10,1.9692307692307693,1.5249266862170088,1.9692307692307693,1.5249266862170088,1.9692307692307693,1.5249266862170088,,,1.0,1.0
8G10 + N268/19,2.4153571260468394,1.3895767249351032,3.4389366881700614,1.7465759527404705,0.5880583748336349,0.9795918367346939,1.5863007881693123,0.3152346689057438,3.0,4.0
A12/18,,4.200704219744749,,4.289167961618112,,4.092017536247896,,0.09323268877530738,,4.0
D3/71,3.127150849320551,3.083109674551005,3.127150849320551,3.083109674551005,3.127150849320551,3.083109674551005,,,1.0,1.0
D3/71R,2.0,2.0,2.0,2.0,2.0,2.0,,,1.0,1.0
D4/104,2.0346430159845483,1.6818398131509231,2.311243353210474,2.7265620383401528,1.7483638567344535,1.247007469353211,0.2815645424855663,0.6998149697514228,3.0,4.0
D4/11,4.179129824028703,4.146998015629811,4.191013851824555,4.160884026957429,4.1676033945463615,4.1328797662815315,0.011709324699097252,0.014003574717713711,3.0,3.0
D4/112,,2.4631899440741307,,2.9204231342177174,,2.005956753930544,,0.6466253786681764,,2.0
D4/133,,1.0787295840341216,,1.4209590380364445,,0.34283428299525637,,0.49716596316807704,,4.0
D4/135,1.6483354938680608,,2.026659829714089,,1.2700111580220326,,0.5350314067292468,,2.0,
D4/152,3.88048651930677,3.042648107190924,4.227648972987706,4.250374821108133,3.440519828481876,1.502473716759431,0.40168711997837797,1.295718142834465,3.0,4.0
D4/154,,2.938671493286001,,4.08674184340725,,0.4568340089087696,,1.6732280893174223,,4.0
D4/16,3.065708477279764,3.118815690701522,3.065708477279764,3.124466324628329,3.065708477279764,3.1131650567747147,,0.007991203135296285,1.0,2.0
D4/194,,2.065331197928039,,2.065331197928039,,2.065331197928039,,,,1.0
D4/27,2.4281994738215564,2.9250194092419592,2.4281994738215564,4.2661151246035365,2.4281994738215564,0.8397654141341062,,1.4321540288907861,1.0,5.0
D4/40,,4.044329768187196,,4.124943185902547,,3.9724075334968423,,0.0766383312089257,,3.0
D4/49,3.3683379787212946,2.1851025877508,3.806829474188505,2.768641128470542,2.576346158706915,1.5590638929621121,0.6872002306539606,0.44783631367665583,3.0,6.0
D4/67,1.4496928600093337,1.0799349375780878,1.6135970957367738,1.3823366434818465,1.2857886242818934,0.31788721216119686,0.23179559309614275,0.36331767957449057,2.0,8.0
D43/43,2.0032459913341616,2.2559693028810024,2.0032459913341616,2.2559693028810024,2.0032459913341616,2.2559693028810024,,,1.0,1.0
EA7,0.6868932038834952,1.2255737511546358,0.8511326860841424,1.9099437148217635,0.5226537216828478,0.3776169047153199,0.23226970320528995,0.779151374512096,2.0,3.0
EMPTY,1.8518518518518519,1.6470588235294117,1.8518518518518519,1.6470588235294117,1.8518518518518519,1.6470588235294117,,,1.0,1.0
K13/31,4.088721016268017,2.727556335989262,4.18885127895362,3.9812289190638626,4.022069277688244,0.43744614893857453,0.08828741512100999,1.5784726900709272,3.0,5.0
K13/31R,2.0,2.0,2.0,2.0,2.0,2.0,,,1.0,1.0
