Status	Freezer	Rack	Box	Location		Date	Initials	Target		# of entry									
Empty	2	1	1	1															
Other	2	1	1	2	HEK-293T - Nav1.7 Stably transfected P.18 LOSSIN LINE	12/21/23	KT	Nav1.7	5x10E cells/vial - Expanded from "NAV1.7 -HEK STABLE CELL P=16 10/31/14" by CD										
Other	2	1	1	3	HEK-293T - Nav1.7 Stably transfected P.18 LOSSIN LINE	12/21/23	KT	Nav1.7	5x10E cells/vial - Expanded from "NAV1.7 -HEK STABLE CELL P=16 10/31/14" by CD										
Other	2	1	1	4	HEK-293T - Nav1.7 Stably transfected P.18 LOSSIN LINE	12/21/23	KT	Nav1.7	5x10E cells/vial - Expanded from "NAV1.7 -HEK STABLE CELL P=16 10/31/14" by CD										
Other	2	1	1	5	HEK-293T - Nav1.7 Stably transfected P.18 LOSSIN LINE	12/21/23	KT	Nav1.7	5x10E cells/vial - Expanded from "NAV1.7 -HEK STABLE CELL P=16 10/31/14" by CD										
Other	2	1	1	6	HEK-293T - Nav1.7 Stably transfected P.18 LOSSIN LINE	12/21/23	KT	Nav1.7	5x10E cells/vial - Expanded from "NAV1.7 -HEK STABLE CELL P=16 10/31/14" by CD										
Other	2	1	1	7	HEK-293T - Nav1.7 Stably transfected P.18 LOSSIN LINE	12/21/23	KT	Nav1.7	5x10E cells/vial - Expanded from "NAV1.7 -HEK STABLE CELL P=16 10/31/14" by CD										
Other	2	1	1	8	HEK-293T - Nav1.7 Stably transfected P.18 LOSSIN LINE	12/21/23	KT	Nav1.7	5x10E cells/vial - Expanded from "NAV1.7 -HEK STABLE CELL P=16 10/31/14" by CD										
Other	2	1	1	9	HEK-293T - Nav1.7 Stably transfected P.18 LOSSIN LINE	12/21/23	KT	Nav1.7	5x10E cells/vial - Expanded from "NAV1.7 -HEK STABLE CELL P=16 10/31/14" by CD										
Other	2	1	1	10	HEK-293T - Nav1.7 Stably transfected P.18 LOSSIN LINE	12/21/23	KT	Nav1.7	5x10E cells/vial - Expanded from "NAV1.7 -HEK STABLE CELL P=16 10/31/14" by CD										
Other	2	1	1	11	HEK-293T - Nav1.7 Stably transfected P.18 LOSSIN LINE	12/21/23	KT	Nav1.7	5x10E cells/vial - Expanded from "NAV1.7 -HEK STABLE CELL P=16 10/31/14" by CD										
Other	2	1	1	12	HEK-293T - Nav1.7 Stably transfected P.18 LOSSIN LINE	12/21/23	KT	Nav1.7	5x10E cells/vial - Expanded from "NAV1.7 -HEK STABLE CELL P=16 10/31/14" by CD										
Other	2	1	1	13	HEK-293T - Nav1.7 Stably transfected P.18 LOSSIN LINE	12/21/23	KT	Nav1.7	5x10E cells/vial - Expanded from "NAV1.7 -HEK STABLE CELL P=16 10/31/14" by CD										
Other	2	1	1	14	HEK-293T - Nav1.7 Stably transfected P.18 LOSSIN LINE	12/21/23	KT	Nav1.7	5x10E cells/vial - Expanded from "NAV1.7 -HEK STABLE CELL P=16 10/31/14" by CD										
Other	2	1	1	15	HEK-293T - Nav1.7 Stably transfected P.18 LOSSIN LINE	12/21/23	KT	Nav1.7	5x10E cells/vial - Expanded from "NAV1.7 -HEK STABLE CELL P=16 10/31/14" by CD										
Empty	2	1	1	16															
Other	2	1	1	17	HEK-293T - hNav1.7 Stably transfected YALE/WAXMAN LINE	12/21/23	KT	Nav1.7	1x10E6 cells/vial - Expanded from "hNav1.7 HEK cells stable x-fect 4/4/07"										
Other	2	1	1	18	HEK-293T - hNav1.7 Stably transfected YALE/WAXMAN LINE	12/21/23	KT	Nav1.7	1x10E6 cells/vial - Expanded from "hNav1.7 HEK cells stable x-fect 4/4/07"										
Subclone	2	1	1	19	L132/18.3	02/28/22	RB	Cav1.2 pS1928											
Subclone	2	1	1	20	L132/18.3	02/28/22	RB	Cav1.2 pS1928											
Subclone	2	1	1	21	L132/18.3	02/28/22	RB	Cav1.2 pS1928											
Subclone	2	1	1	22	L132/18.3	02/28/22	RB	Cav1.2 pS1928											
Subclone	2	1	1	23	L132/18.3	02/28/22	RB	Cav1.2 pS1928											
Subclone	2	1	1	24	L132/18.3	02/28/22	RB	Cav1.2 pS1928											
Subclone	2	1	1	25	L132/68.1	02/28/22	RB	Cav1.2 pS1928											
Subclone	2	1	1	26	L132/68.1	02/28/22	RB	Cav1.2 pS1928											
Subclone	2	1	1	27	L132/68.1	02/28/22	RB	Cav1.2 pS1928											
Subclone	2	1	1	28	L132/68.1	02/28/22	RB	Cav1.2 pS1928											
Subclone	2	1	1	29	L132/68.1	02/28/22	RB	Cav1.2 pS1928											
Subclone	2	1	1	30	L132/68.1	02/28/22	RB	Cav1.2 pS1928											
Subclone	2	1	1	31	L129/14.1	03/07/22	RB	Neurabin1	From Subcloning Hybridomas to Monoclonality Project										
Subclone	2	1	1	32	L129/14.2	03/07/22	RB	Neurabin1	From Subcloning Hybridomas to Monoclonality Project										
Subclone	2	1	1	33	L129/23.1	03/07/22	RB	Neurabin1	From Subcloning Hybridomas to Monoclonality Project										
Subclone	2	1	1	34	L129/23.3	03/07/22	RB	Neurabin1	From Subcloning Hybridomas to Monoclonality Project										
Subclone	2	1	1	35	L129/57.1	03/07/22	RB	Neurabin1	From Subcloning Hybridomas to Monoclonality Project										
Subclone	2	1	1	36	L129/57.2	03/07/22	RB	Neurabin1	From Subcloning Hybridomas to Monoclonality Project										
Subclone	2	1	1	37	L129/57.3	03/07/22	RB	Neurabin1	From Subcloning Hybridomas to Monoclonality Project										
Subclone	2	1	1	38	L129/62.2	03/07/22	RB	Neurabin1	From Subcloning Hybridomas to Monoclonality Project										
Subclone	2	1	1	39	L129/62.3	03/07/22	RB	Neurabin1	From Subcloning Hybridomas to Monoclonality Project										
Subclone	2	1	1	40	L129/86.2	03/07/22	RB	Neurabin1	From Subcloning Hybridomas to Monoclonality Project										
Subclone	2	1	1	41	L129/88.1	03/07/22	RB	Neurabin1	From Subcloning Hybridomas to Monoclonality Project										
Subclone	2	1	1	42	L129/88.2	03/07/22	RB	Neurabin1	From Subcloning Hybridomas to Monoclonality Project										
Subclone	2	1	1	43	L129/88.3	03/07/22	RB	Neurabin1	From Subcloning Hybridomas to Monoclonality Project										
Subclone	2	1	1	44	L129/117.1	03/07/22	RB	Neurabin1	From Subcloning Hybridomas to Monoclonality Project										
Subclone	2	1	1	45	L129/117.2	03/07/22	RB	Neurabin1	From Subcloning Hybridomas to Monoclonality Project										
Subclone	2	1	1	46	L129/117.3	03/07/22	RB	Neurabin1	From Subcloning Hybridomas to Monoclonality Project										
Subclone	2	1	1	47	L129/123.3	03/07/22	RB	Neurabin1	From Subcloning Hybridomas to Monoclonality Project										
Subclone	2	1	1	48	L129/6.1	03/10/22	RB	Neurabin1	From Subcloning Hybridomas to Monoclonality Project										
Subclone	2	1	1	49	L129/6.2	03/10/22	RB	Neurabin1	From Subcloning Hybridomas to Monoclonality Project										
Subclone	2	1	1	50	L129/14.3	03/10/22	RB	Neurabin1	From Subcloning Hybridomas to Monoclonality Project										
Subclone	2	1	1	51	L129/23.2	03/10/22	RB	Neurabin1	From Subcloning Hybridomas to Monoclonality Project										
Subclone	2	1	1	52	L129/62.1	03/10/22	RB	Neurabin1	From Subcloning Hybridomas to Monoclonality Project										
Subclone	2	1	1	53	L129/123.1	03/10/22	RB	Neurabin1	From Subcloning Hybridomas to Monoclonality Project										
Subclone	2	1	1	54	L129/123.2	03/10/22	RB	Neurabin1	From Subcloning Hybridomas to Monoclonality Project										
Parent	2	1	1	55	L122/135	03/11/22	SM/KT	CALB2/calretinin	From Subcloning Hybridomas to Monoclonality Project										
Parent	2	1	1	56	L122/136	03/11/22	SM/KT	CALB2/calretinin	From Subcloning Hybridomas to Monoclonality Project										
Parent	2	1	1	57	L122/136	03/11/22	SM/KT	CALB2/calretinin	From Subcloning Hybridomas to Monoclonality Project										
Parent	2	1	1	58	L122/139	03/11/22	SM/KT	CALB2/calretinin	From Subcloning Hybridomas to Monoclonality Project										
Parent	2	1	1	59	L122/139	03/11/22	SM/KT	CALB2/calretinin	From Subcloning Hybridomas to Monoclonality Project										
Parent	2	1	1	60	L122/141	03/11/22	SM/KT	CALB2/calretinin	From Subcloning Hybridomas to Monoclonality Project										
Parent	2	1	1	61	L122/141	03/11/22	SM/KT	CALB2/calretinin	From Subcloning Hybridomas to Monoclonality Project										
Subclone	2	1	1	62	L129/6.3	03/18/22	RB	Neurabin1	From Subcloning Hybridomas to Monoclonality Project										
Subclone	2	1	1	63	L129/86.1	03/18/22	RB	Neurabin1	From Subcloning Hybridomas to Monoclonality Project										
Subclone	2	1	1	64	L129/86.3	03/18/22	RB	Neurabin1	From Subcloning Hybridomas to Monoclonality Project										
Subclone	2	1	1	65	L122/15.1	03/21/22	RB/SM	CALB2/calretinin											
Subclone	2	1	1	66	L122/15.2	03/21/22	RB/SM	CALB2/calretinin											
Subclone	2	1	1	67	L122/15.3	03/21/22	RB/SM	CALB2/calretinin											
Subclone	2	1	1	68	L122/20.2	03/21/22	RB/SM	CALB2/calretinin											
Subclone	2	1	1	69	L122/27.2	03/21/22	RB/SM	CALB2/calretinin											
Subclone	2	1	1	70	L122/30.2	03/21/22	RB/SM	CALB2/calretinin											
Subclone	2	1	1	71	L122/43.2	03/21/22	RB/SM	CALB2/calretinin											
Subclone	2	1	1	72	L122/55.1	03/21/22	RB/SM	CALB2/calretinin											
Subclone	2	1	1	73	L122/55.2	03/21/22	RB/SM	CALB2/calretinin											
Subclone	2	1	1	74	L122/58.1	03/21/22	RB/SM	CALB2/calretinin											
Subclone	2	1	1	75	L122/58.3	03/21/22	RB/SM	CALB2/calretinin											
Subclone	2	1	1	76	L122/61.2	03/21/22	RB/SM	CALB2/calretinin											
Subclone	2	1	1	77	L122/61.3	03/21/22	RB/SM	CALB2/calretinin											
Subclone	2	1	1	78	L122/116.1	03/21/22	RB/SM	CALB2/calretinin											
Subclone	2	1	1	79	L122/116.3	03/21/22	RB/SM	CALB2/calretinin											
Subclone	2	1	1	80	L122/120.3	03/21/22	RB/SM	CALB2/calretinin											
Subclone	2	1	1	81	L122/123.1	03/21/22	RB/SM	CALB2/calretinin											
Empty	2	1	1	82															
Empty	2	1	1	83															
Empty	2	1	1	84															
Empty	2	1	1	85															
Empty	2	1	1	86															
Empty	2	1	1	87															
Empty	2	1	1	88															
Empty	2	1	1	89															
Empty	2	1	1	90															
Empty	2	1	1	91															
Empty	2	1	1	92															
Empty	2	1	1	93															
Empty	2	1	1	94															
Empty	2	1	1	95															
Empty	2	1	1	96															
Empty	2	1	1	97															
Empty	2	1	1	98															
Empty	2	1	1	99															
Empty	2	1	1	100															
Immortality	2	1	2	1	N93A/49.2	06/14/12	KK	GABA BR 1 1x10^7 cells/ml 0.5 ml	For MMRRC? - Box needs to be re-logged										
Immortality	2	1	2	2	N95/35.1	06/14/13	KK	GABA AR AlphA 1 1x10^7 cells/ml 0.5 ml	For MMRRC? - Box needs to be re-logged										
