,Priority,Clone,2012-2019 Total,Process,Status 081623,Year completed,R-mAb gBlocks,GA number,Isotype switch to IgG2b status,BG note
gBlock needed,127,K73/20,53,Neuromabseq inhouse cloning,"Passed validation via COS-IF 6/25/21, shipped to Addgene 9/27/21",2,Set 2,46,,
gBlock needed,133,N125/10,49,Neuromabseq inhouse cloning,"Passed validation via IB 5/13/21, shipped to Addgene 9/27/21",2,Set 2,49,,
gBlock needed,289,N345/51,8,Neuromabseq inhouse cloning,"Passed validation via IB 5/20/22, shipped to Addgene 8/11/22",3,Set 8,331,,
gBlock needed,105,K66/38,70,Andrews method,At Addgene 6/2/19,NA,NA,,,
gBlock needed/redo as GA,342,N341/12,4,Neuromabseq inhouse cloning,"Passed validation via IB 3/9/23, shipped to Addgene 7/27/23",4,Set 9,368,,
investigate,31,N103/39,232,Neuromabseq inhouse cloning,"TC Supes collected 18-Jan-22, negative via IB 2/22/22",3,Set 1,28,,
investigate,228,L86A/37,18,Neuromabseq inhouse cloning,"TC Supes collected 29-Nov-21, negative via IB 2/8/22",3,Set 2,94,,
investigate,,L111/118,,Neuromabseq inhouse cloning,"TC Supes collected 4-Feb-22, negative via IHC 3/17/22",3,Set 3,117,,
investigate,,L128/43,,Neuromabseq inhouse cloning,"TC Supes collected 10-Nov-21, negative via COS-IF 2/4/22",3,Set 3,119,,
investigate,428,L118/66,0,Neuromabseq inhouse cloning,"Passed seq check, transfected, failed COS-IF 6/28/22",3,Set 3,126,,should be prioritized higher
investigate,,D4/27,,Neuromabseq inhouse cloning,"TC Supes collected, failed validation via COS-IF 3/15/22",3,Set 6,206,,
investigate,,L61C/7,,Neuromabseq inhouse cloning,"TC Supes collected, failed validation via COS-IF 4/7/22",3,Set 6,209,,
investigate,38,N103/31 VL2,,Neuromabseq inhouse cloning,"TC Supes collected, failed validation via COS-IF ",3,Set 6,210,,
investigate,,K65/36,,Neuromabseq inhouse cloning,"TC Supes collected 16-May-22, failed validation via COS-IF 12/16/22",4,Set 6,233,,
investigate,,L120/86,,Neuromabseq inhouse cloning,"TC Supes collected, failed validation via IB 3/18/22",3,Set 6,234,,
investigate,,L106/94,,Neuromabseq inhouse cloning,"TC Supes collected 26-Jan-22, failed validation via IB 15Mar2022",3,Set 6,238,,
investigate,,L107/24,,Neuromabseq inhouse cloning,"TC Supes collected 02-Mar-22, failed validation via COS-IF 12/16/22",4,Set 6,248,,
