"plate"	"Chain"	"SMARTindex"	"RawReads"	"ReadsWithPrimer"	"Ga12HC"	"Ga3HC"	"LaLC"	"KaLC"	"ReadsToFilter"	"PassedAberrantFilter"	"Aberrant_LC_reads"	"ReadsToOverlap"	"ShortInsert"	"MediumInserts"	"LongInserts"	"Overlapped"	"LengthFiltered"
==> TRIMMER0002_P2/01-PrimerTrimReport/demux_stats.tsv <==
"TRIMMER0002_P2"	"H"	"01-SMARTindex"	571113	232	232	0	0	0	232	232	0	232	205	22	5	227	21
"TRIMMER0002_P2"	"H"	"02-SMARTindex"	571113	707	707	0	0	0	707	707	0	707	130	547	30	677	536
"TRIMMER0002_P2"	"H"	"03-SMARTindex"	571113	1139	58	1081	0	0	1139	1139	0	1139	131	958	50	1089	956
"TRIMMER0002_P2"	"H"	"04-SMARTindex"	571113	685	685	0	0	0	685	685	0	685	63	574	48	637	568
"TRIMMER0002_P2"	"H"	"05-SMARTindex"	571113	3658	3657	1	0	0	3658	3658	0	3658	106	3360	192	3466	3352
"TRIMMER0002_P2"	"H"	"06-SMARTindex"	571113	2589	2589	0	0	0	2589	2589	0	2589	350	1979	260	2329	1920
"TRIMMER0002_P2"	"H"	"07-SMARTindex"	571113	1402	1401	1	0	0	1402	1402	0	1402	122	1143	137	1265	1132
"TRIMMER0002_P2"	"H"	"08-SMARTindex"	571113	1597	1597	0	0	0	1597	1597	0	1597	178	1356	63	1534	1239
"TRIMMER0002_P2"	"H"	"09-SMARTindex"	571113	641	641	0	0	0	641	641	0	641	36	572	33	608	568
"TRIMMER0002_P2"	"H"	"10-SMARTindex"	571113	40	39	1	0	0	40	40	0	40	40	0	0	40	0
"TRIMMER0002_P2"	"H"	"11-SMARTindex"	571113	1034	1033	1	0	0	1034	1034	0	1034	45	911	78	956	907
"TRIMMER0002_P2"	"H"	"12-SMARTindex"	571113	2122	2119	3	0	0	2122	2122	0	2122	104	1936	82	2040	1928
"TRIMMER0002_P2"	"H"	"13-SMARTindex"	571113	546	545	1	0	0	546	546	0	546	66	463	17	529	461
"TRIMMER0002_P2"	"H"	"14-SMARTindex"	571113	720	717	3	0	0	720	720	0	720	297	386	37	683	368
"TRIMMER0002_P2"	"H"	"15-SMARTindex"	571113	1501	1471	30	0	0	1501	1501	0	1501	113	1309	79	1422	1299
"TRIMMER0002_P2"	"H"	"16-SMARTindex"	571113	1475	1475	0	0	0	1475	1475	0	1475	344	1071	60	1415	1066
"TRIMMER0002_P2"	"H"	"17-SMARTindex"	571113	1655	1655	0	0	0	1655	1655	0	1655	76	1510	69	1586	1499
"TRIMMER0002_P2"	"H"	"18-SMARTindex"	571113	1418	1416	2	0	0	1418	1418	0	1418	24	1220	174	1244	1215
"TRIMMER0002_P2"	"H"	"19-SMARTindex"	571113	1292	1292	0	0	0	1292	1292	0	1292	57	1165	70	1222	1164
"TRIMMER0002_P2"	"H"	"20-SMARTindex"	571113	261	258	3	0	0	261	261	0	261	68	178	15	246	172
"TRIMMER0002_P2"	"H"	"21-SMARTindex"	571113	1314	1313	1	0	0	1314	1314	0	1314	104	1133	77	1237	1121
"TRIMMER0002_P2"	"H"	"22-SMARTindex"	571113	1514	1512	2	0	0	1514	1514	0	1514	128	1250	136	1378	1242
"TRIMMER0002_P2"	"H"	"23-SMARTindex"	571113	113	113	0	0	0	113	113	0	113	42	62	9	104	61
"TRIMMER0002_P2"	"H"	"24-SMARTindex"	571113	1720	1719	1	0	0	1720	1720	0	1720	84	1480	156	1564	1467
"TRIMMER0002_P2"	"H"	"25-SMARTindex"	571113	30	29	1	0	0	30	30	0	30	26	3	1	29	3
"TRIMMER0002_P2"	"H"	"26-SMARTindex"	571113	280	278	2	0	0	280	280	0	280	46	225	9	271	222
"TRIMMER0002_P2"	"H"	"27-SMARTindex"	571113	2263	2263	0	0	0	2263	2263	0	2263	138	2019	106	2157	2012
"TRIMMER0002_P2"	"H"	"28-SMARTindex"	571113	1158	1158	0	0	0	1158	1158	0	1158	67	951	140	1018	943
"TRIMMER0002_P2"	"H"	"29-SMARTindex"	571113	151	150	1	0	0	151	151	0	151	26	121	4	147	121
"TRIMMER0002_P2"	"H"	"30-SMARTindex"	571113	239	237	2	0	0	239	239	0	239	62	167	10	229	166
"TRIMMER0002_P2"	"H"	"31-SMARTindex"	571113	234	234	0	0	0	234	234	0	234	59	164	11	223	163
"TRIMMER0002_P2"	"H"	"32-SMARTindex"	571113	718	717	1	0	0	718	718	0	718	107	573	38	680	569
"TRIMMER0002_P2"	"H"	"33-SMARTindex"	571113	83	82	1	0	0	83	83	0	83	34	47	2	81	47
"TRIMMER0002_P2"	"H"	"34-SMARTindex"	571113	3	3	0	0	0	3	3	0	3	3	0	0	3	0
"TRIMMER0002_P2"	"H"	"35-SMARTindex"	571113	138	137	1	0	0	138	138	0	138	127	9	2	136	5
"TRIMMER0002_P2"	"H"	"36-SMARTindex"	571113	1935	1933	2	0	0	1935	1935	0	1935	60	1768	107	1828	1760
"TRIMMER0002_P2"	"H"	"37-SMARTindex"	571113	1091	1091	0	0	0	1091	1091	0	1091	78	950	63	1028	937
"TRIMMER0002_P2"	"H"	"38-SMARTindex"	571113	2765	2765	0	0	0	2765	2765	0	2765	88	2512	165	2600	2495
"TRIMMER0002_P2"	"H"	"39-SMARTindex"	571113	369	364	5	0	0	369	369	0	369	130	226	13	356	223
"TRIMMER0002_P2"	"H"	"40-SMARTindex"	571113	160	155	5	0	0	160	160	0	160	140	14	6	154	13
"TRIMMER0002_P2"	"H"	"41-SMARTindex"	571113	20	20	0	0	0	20	20	0	20	10	10	0	20	10
"TRIMMER0002_P2"	"H"	"42-SMARTindex"	571113	524	524	0	0	0	524	524	0	524	100	386	38	486	384
"TRIMMER0002_P2"	"H"	"43-SMARTindex"	571113	175	173	2	0	0	175	175	0	175	131	40	4	171	34
"TRIMMER0002_P2"	"H"	"44-SMARTindex"	571113	374	368	6	0	0	374	374	0	374	88	264	22	352	262
"TRIMMER0002_P2"	"H"	"45-SMARTindex"	571113	219	218	1	0	0	219	219	0	219	59	152	8	211	150
"TRIMMER0002_P2"	"H"	"46-SMARTindex"	571113	930	930	0	0	0	930	930	0	930	136	722	72	858	716
"TRIMMER0002_P2"	"H"	"47-SMARTindex"	571113	468	468	0	0	0	468	468	0	468	96	337	35	433	334
"TRIMMER0002_P2"	"H"	"48-SMARTindex"	571113	351	340	11	0	0	351	351	0	351	64	246	41	310	244
"TRIMMER0002_P2"	"H"	"49-SMARTindex"	571113	544	544	0	0	0	544	544	0	544	135	357	52	492	350
"TRIMMER0002_P2"	"H"	"50-SMARTindex"	571113	150	150	0	0	0	150	150	0	150	69	75	6	144	74
"TRIMMER0002_P2"	"H"	"51-SMARTindex"	571113	523	517	6	0	0	523	523	0	523	117	389	17	506	381
"TRIMMER0002_P2"	"H"	"52-SMARTindex"	571113	1029	1029	0	0	0	1029	1029	0	1029	72	902	55	974	892
"TRIMMER0002_P2"	"H"	"53-SMARTindex"	571113	555	555	0	0	0	555	555	0	555	63	453	39	516	451
"TRIMMER0002_P2"	"H"	"54-SMARTindex"	571113	337	321	16	0	0	337	337	0	337	38	281	18	319	281
"TRIMMER0002_P2"	"H"	"55-SMARTindex"	571113	1366	1366	0	0	0	1366	1366	0	1366	79	1200	87	1279	1195
"TRIMMER0002_P2"	"H"	"56-SMARTindex"	571113	583	583	0	0	0	583	583	0	583	81	442	60	523	439
"TRIMMER0002_P2"	"H"	"57-SMARTindex"	571113	89	86	3	0	0	89	89	0	89	38	48	3	86	48
"TRIMMER0002_P2"	"H"	"58-SMARTindex"	571113	733	733	0	0	0	733	733	0	733	170	543	20	713	532
"TRIMMER0002_P2"	"H"	"59-SMARTindex"	571113	1298	1297	1	0	0	1298	1298	0	1298	85	1145	68	1230	1128
"TRIMMER0002_P2"	"H"	"60-SMARTindex"	571113	38	37	1	0	0	38	38	0	38	25	11	2	36	9
"TRIMMER0002_P2"	"H"	"61-SMARTindex"	571113	1623	1621	2	0	0	1623	1623	0	1623	61	1479	83	1540	1477
"TRIMMER0002_P2"	"H"	"62-SMARTindex"	571113	440	439	1	0	0	440	440	0	440	221	187	32	408	172
"TRIMMER0002_P2"	"H"	"63-SMARTindex"	571113	238	238	0	0	0	238	238	0	238	77	149	12	226	147
