,entry__mabid,chain,seq,entry__clonality,entry__category
0,,Heavy,1,1,0
1,,Light,1,1,0
2,10% N48676,Heavy,5,5,0
3,10% N48676,Light,5,5,0
4,12CA5,Heavy,1,1,1
5,12CA5,Light,3,3,3
6,1D8,Heavy,3,3,3
7,1D8,Light,3,3,3
8,1F1,Heavy,7,7,7
9,1F1,Light,4,4,4
10,20% N486/76,Heavy,5,5,0
11,20% N486/76,Light,5,5,0
12,25% N486/76,Heavy,6,6,0
13,25% N486/76,Light,6,6,0
14,60% N486/76,Heavy,4,4,0
15,60% N486/76,Light,4,4,0
16,62-3G1,Heavy,3,3,3
17,62-3G1,Light,3,3,3
18,80% N486/76,Heavy,4,4,0
19,80% N486/76,Light,4,4,0
20,8G10,Heavy,1,1,1
21,8G10,Light,1,1,1
22,8G10 + N268/19,Heavy,3,3,0
23,8G10 + N268/19,Light,4,4,0
24,A12/18,Heavy,4,4,4
25,A12/18,Light,4,4,4
26,D3/71,Heavy,1,1,1
27,D3/71,Light,1,1,1
28,D3/71R,Heavy,1,1,1
29,D3/71R,Light,1,1,1
30,D4/104,Heavy,6,6,6
31,D4/104,Light,4,4,4
32,D4/11,Heavy,3,3,3
33,D4/11,Light,3,3,3
34,D4/112,Heavy,1,1,1
35,D4/112,Light,2,2,2
36,D4/133,Heavy,2,2,2
37,D4/133,Light,4,4,4
38,D4/135,Heavy,2,2,2
39,D4/152,Heavy,4,4,4
40,D4/152,Light,4,4,4
41,D4/154,Heavy,2,2,2
42,D4/154,Light,6,6,6
43,D4/16,Heavy,3,3,3
44,D4/16,Light,2,2,2
45,D4/194,Heavy,1,1,1
46,D4/194,Light,1,1,1
47,D4/27,Heavy,4,4,4
48,D4/27,Light,5,5,5
49,D4/40,Heavy,4,4,4
50,D4/40,Light,3,3,3
51,D4/49,Heavy,5,5,5
52,D4/49,Light,8,8,8
53,D4/67,Heavy,4,4,4
54,D4/67,Light,8,8,8
55,D43/43,Heavy,1,1,1
56,D43/43,Light,1,1,1
57,EA7,Heavy,2,2,2
58,EA7,Light,3,3,3
59,Empty for negative control,Heavy,3,3,0
60,Empty for negative control,Light,3,3,0
61,K13/31,Heavy,3,3,3
62,K13/31,Light,5,5,5
63,K13/31R,Heavy,1,1,1
64,K13/31R,Light,1,1,1
65,K14/16,Heavy,5,5,5
66,K14/16,Light,5,5,5
67,K14/16R,Heavy,1,1,1
68,K14/16R,Light,1,1,1
69,K14/39,Heavy,7,7,7
70,K14/39,Light,7,7,7
71,K17/24,Heavy,6,6,6
72,K17/24,Light,6,6,6
73,K17/70,Heavy,7,7,7
