"plate"	"Chain"	"SMARTindex"	"RawReads"	"ReadsWithPrimer"	"Ga12HC"	"Ga3HC"	"LaLC"	"KaLC"	"ReadsToFilter"	"PassedAberrantFilter"	"Aberrant_LC_reads"	"ReadsToOverlap"	"ShortInsert"	"MediumInserts"	"LongInserts"	"Overlapped"	"LengthFiltered"
"TRIMMER0046_P39"	"H"	"01-SMARTindex"	966125	1306	1300	6	0	0	1306	1306	0	1306	0	1244	62	1244	1244
"TRIMMER0046_P39"	"H"	"02-SMARTindex"	966125	4799	4797	2	0	0	4799	4799	1	4799	10	4166	623	4176	4152
"TRIMMER0046_P39"	"H"	"03-SMARTindex"	966125	25	16	9	0	0	25	25	0	25	2	9	14	11	8
"TRIMMER0046_P39"	"H"	"04-SMARTindex"	966125	5094	5093	1	0	0	5094	5094	0	5094	7	4793	294	4800	4780
"TRIMMER0046_P39"	"H"	"05-SMARTindex"	966125	3439	3438	1	0	0	3439	3439	1	3439	7	3159	273	3166	3145
"TRIMMER0046_P39"	"H"	"06-SMARTindex"	966125	2164	2164	0	0	0	2164	2164	0	2164	3	2019	142	2022	2017
"TRIMMER0046_P39"	"H"	"07-SMARTindex"	966125	1473	1473	0	0	0	1473	1473	0	1473	1	1372	100	1373	1363
"TRIMMER0046_P39"	"H"	"08-SMARTindex"	966125	318	292	26	0	0	318	318	0	318	4	166	148	170	156
"TRIMMER0046_P39"	"H"	"09-SMARTindex"	966125	2094	2085	9	0	0	2094	2094	0	2094	0	1952	142	1952	1938
"TRIMMER0046_P39"	"H"	"10-SMARTindex"	966125	2379	2379	0	0	0	2379	2379	0	2379	1	2114	264	2115	2101
"TRIMMER0046_P39"	"H"	"11-SMARTindex"	966125	152	149	3	0	0	152	152	0	152	3	120	29	123	116
"TRIMMER0046_P39"	"H"	"12-SMARTindex"	966125	2219	2200	19	0	0	2219	2219	0	2219	1	2101	117	2102	2099
"TRIMMER0046_P39"	"H"	"13-SMARTindex"	966125	3412	3411	1	0	0	3412	3412	0	3412	9	3171	232	3180	3149
"TRIMMER0046_P39"	"H"	"14-SMARTindex"	966125	2557	2557	0	0	0	2557	2557	0	2557	2	2417	138	2419	2407
"TRIMMER0046_P39"	"H"	"15-SMARTindex"	966125	5367	5366	1	0	0	5367	5367	0	5367	4	4959	404	4963	4883
"TRIMMER0046_P39"	"H"	"16-SMARTindex"	966125	152	151	1	0	0	152	152	2	152	0	78	74	78	68
"TRIMMER0046_P39"	"H"	"17-SMARTindex"	966125	1262	1261	1	0	0	1262	1262	0	1262	1	1186	75	1187	1177
"TRIMMER0046_P39"	"H"	"18-SMARTindex"	966125	3044	3033	11	0	0	3044	3044	0	3044	0	2840	204	2840	2833
"TRIMMER0046_P39"	"H"	"19-SMARTindex"	966125	1510	1488	22	0	0	1510	1510	1	1510	2	1393	115	1395	1379
"TRIMMER0046_P39"	"H"	"20-SMARTindex"	966125	37	34	3	0	0	37	37	0	37	2	21	14	23	12
"TRIMMER0046_P39"	"H"	"21-SMARTindex"	966125	1	1	0	0	0	1	1	0	1	0	1	0	1	1
"TRIMMER0046_P39"	"H"	"22-SMARTindex"	966125	2117	2117	0	0	0	2117	2117	0	2117	3	2003	111	2006	1994
"TRIMMER0046_P39"	"H"	"23-SMARTindex"	966125	5489	5483	6	0	0	5489	5489	0	5489	6	5176	307	5182	5150
