,Institute
Icahn School of Medicine at Mount Sinai,95
Hong Kong University of Science and Technology,75
Massachusetts Institute of Technology,70
"Kyoto University, Graduate School of Medicine",51
"Cornell University, Weill Medical College",37
Istanbul Medipol University,33
Centre for Cellular and Molecular Biology (CSIR-CCMB),27
Weizmann Institute of Science,27
Universidad de Santiago de Chile,26
University of Edinburgh,25
Kyung Hee University,23
Juntendo University,23
University of Bordeaux,21
University of Colorado Denver and Anschutz Medical Campus,19
"INSERM U1191, Institut de G̩nomique Fonctionnelle  (IGF)",15
"Shenzhen Institute of Advanced Technology (SIAT), Chinese Academy of Sciences",15
Universitaetsklinikum Muenster,13
Shinshu University,13
Centro de Investigacion Principe Felipe (CIPF),11
St. Marianna University School of Medicine,11
"Loyola University Chicago, College of Arts and Sciences",11
Francis Crick Institute,11
University College London,10
National Institute of Mental Health (NIMH),10
Universitaet zu Koeln,10
Tokyo Medical and Dental University,10
University of Science and Technology of China,10
Salk Institute for Biological Studies,10
Stanford University,9
Chongqing Medical University,9
Universidad de Concepcion,9
Universidad de Chile,9
St. Jude Children's Research Hospital,8
Delegation INSERM Nouvelle-Aquitaine,8
"Vlaams Instituut voor Biotechnologie (VIB, vzw)",8
Case Western Reserve University,8
Harvard Medical School,8
"University of California, Los Angeles (UCLA)",8
Seoul National University,8
Yale University,8
Delegation INSERM Paris 5,7
University of Copenhagen,7
Uniklinik Koeln,7
University of Rochester Medical Center,6
RIKEN Center for Biosystems Dynamics Research,6
"Louisiana State University Health Sciences Center, New Orleans",6
"National Institute of Biological Sciences, Beijing",6
University of Toyama,6
Boston Children's Hospital,6
"University of Helsinki, Institute of Biomedicine",6
National Institute of Neurological Disorders and Strokes (NINDS),6
Cold Spring Harbor Laboratory,6
University of Queensland,5
ETH Zurich (Swiss Federal Institute of Technology),5
National Institute for Physiological Sciences,5
"Kyoto University, Graduate School of Pharmaceutical Sciences",5
National Cancer Institute (NCI),5
University of Pennsylvania,4
Haifa University,4
Duke University,4
Baylor College of Medicine,4
Universitaetsklinikum Hamburg-Eppendorf,4
Xinxiang Medical University,4
Charite Universitaetsmedizin Berlin,4
"Indian Institute of Science, Bangalore",4
Johns Hopkins University Applied Physics Laboratory,4
University of Illinois at Urbana-Champaign,4
New York University School of Medicine,4
Shenzhen Bay Laboratory,4
Massachusetts General Hospital,4
Virginia Commonwealth University,4
Rockefeller University,4
University of Basel,4
MRC Laboratory of Molecular Biology,4
Monash University,4
"CNRS, Delegation Occitanie Est",3
"HHMI, Janelia Research Campus",3
Fraunhofer Institute for Molecular Biology and Applied Ecology (IME),3
Kyushu University,3
University of Chicago,3
Max Planck Institute of Biophysics,3
Universita degli Studi di Pavia,3
University of Iowa,3
Deutsches Zentrum fuer Neurodegenerative Erkrankungen (DZNE),3
"University of California, Davis",3
Medical College of Wisconsin,3
Osaka Medical and Pharmaceutical University,3
University of Oxford,3
University of Toronto,3
Medical University of Vienna,3
University of Alberta,3
Leibniz-Forschungsinstitut fuer Molekulare Pharmakologie,3
"CNRS, Delegation Aquitaine",3
Goteborgs Universitet,3
"University of California, Berkeley",3
Osaka University,3
"INSERM U1298, Institut des Neurosciences de Montpellier (INM)",3
West Virginia University and School of Medicine,3
Culture in vivo ASBL,3
Texas A&M Health Science Center,3
"University of Pittsburgh (University, School of Medicine, and Cancer Institute)",3
Zhejiang University,3
University College Cork,3
Georgetown University,3
Zurich University Hospital,3
University of Minnesota,3
University of Hong Kong,2
National Eye Institute (NEI),2
Turku Bioscience Centre,2
Huazhong Agricultural University,2
Biomedical Research Institute (BRI-FORTH),2
Ohio State University,2
"University of Maryland, Baltimore",2
Rajiv Gandhi Centre for Biotechnology,2
"Louisiana State University Health Sciences Center, Shreveport",2
"Research Institute, Nozaki Tokushukai Hospital",2
"Barts and The London School of Medicine and Dentistry, Queen Mary, University of London",2
National Institute of Child Health and Human Development (NICHD),2
Northwestern University,2
University of Sheffield,2
"University of Tokyo, Graduate School of Medicine",2
"Bilkent University UNAM, Nanotechnology Research Center",2
Harvard School of Public Health,2
"Institute of Molecular and Cell Biology, A*STAR Research Entities",2
University of Sussex,2
Ubon Ratchathani University,2
Universite de Lausanne (UNIL),2
Harbin Medical University,2
Instituto de Neurociencias de Alicante,2
Friedrich-Loeffler-Institut (FLI),2
Medical University of Lodz,2
Ulsan National Institute of Science and Technology (UNIST),2
Oklahoma Medical Research Foundation,2
Indiana University-Purdue University Indianapolis (IUPUI),2
Johns Hopkins University and School of Medicine,2
University of British Columbia,2
Carlsbad Aquafarm,2
"University of California, San Diego (UCSD)",2
Arizona State University,2
Washington University in Saint Louis,2
Wuhan University,2
California Institute of Technology,2
Albert-Ludwigs-Universitaet Freiburg,2
"Innsbruck Medical University, Austria",2
Ludwig-Maximilians-Universitaet Muenchen (LMU),2
Universitaet Konstanz,2
University of Utah,2
"Kyoto University, Institute for Chemical Research",2
Virginia Polytechnic Institute and State University,2
University of Texas Medical Branch at Galveston,2
Macquarie University,2
"CNRS UMR 7051, Institut de neurophysiopathologie (INP)",2
