Comments	Priority	Code	scFv ID	Status 061923	Year completed	gBlock set	Plasmid	Code	Best	Notes									
	27	S-2	K74/71	Inconclusive IHC 6/30/22		1	pcDNA3.1	2											
Bad gBlock, do not redo	11	S-3	N308/48	Inconclusive COS-IF 6/27/22		1	pcDNA3.1	3											
Bad gBlock, do not count	28	S-4	N70/28	Failed via COS-IF 5/18/22	3	1	pcDNA3.1	4											
Bad gBlock, do not count	8	S-5	L6/60	Failed via COS-IF 6/15/22	3	1	pcDNA3.1	5											
Bad gBlock, do not count	25	S-6	K87A/10	Passed sequencing, transfected, untested		1	pcDNA3.1	6											
Bad gBlock, do not count	45	S-7	N377/20	Failed via COS-IF 5/18/22	3	1	pcDNA3.1	7											
Bad gBlock, do not count	23	S-8	N327/95	Failed via COS-IF 6/14/22	3	1	pcDNA3.1	8											
Bad gBlock, do not count	24	S-9	N206A/8	Failed via COS-IF 6/27/22	3	1	pcDNA3.1	9											
Bad gBlock, do not count	22	S-11	N95/35	Failed via IHC 6/30/22	3	1	pcDNA3.1	11											
no need as S-276 worked	3	S-13	N241A/34	COS-IF inconclusive 5/9/23				13											
Bad gBlock, do not count	43	S-14	K55/7	Failed via COS-IF 6/29/22	3	1	pcDNA3.1	14											
	396*	S-16	L108/92	Failed via COS-IF 10/1/21	3	2a	pcDNA3.1	16											
	19	S-17	A12/18	Passed validation via IHC 6/30/22, shipped to Addgene 8/11/22	3	2a	pcDNA3.1	17											
	430*	S-18	L122/6	Failed via COS-IF 8/16/21	3	2a	pcDNA3.1	18											
	453*	S-19	N452/81	Passed validation via CHN/CCN-IF 9/10/21, shipped to Addgene 1/11/22	3	2a	pcDNA3.1	19											
		S-22	L100/1	Failed via COS-IF 4/7/22	3	2a	pcDNA3.1	22											
	308*	S-23	L113/130	Passed validation via COS-IF 6/27/22, shipped to Addgene 8/11/22	3	2a	pcDNA3.1	23											
	367*	S-24	L113/13	Passed validation via COS-IF 6/27/22, shipped to Addgene 8/11/22	3	2a	pcDNA3.1	24											
	465	S-25	L125/129	Passed validation via CHN/CCN-IF 9/10/21, shipped to Addgene 1/11/22	3	2a	pcDNA3.1	25											
(VL2) VH-VL	2	S-26	N106/36	Failed via IHC 8/26/21	3	2a	pcDNA3.1	26											
	44	S-27	N221/17	Passed validation via COS-IF 08/26/21, shipped to Addgene 1/11/22	3	2a	pcDNA3.1	27											
	322*	S-28	L115/13	Passed validation via COS-IF 07/19/21, shipped to Addgene 1/11/22, reshipped in shipment scheduled for June 2022	3	2a	pcDNA3.1	28											
	13	S-29	N133/21	Passed validation via COS-IF 6/29/22, shipped to Addgene 8/11/22	3	2a	pcDNA3.1	29											
try as VL-VH	21	S-30	K57/1	Failed via CHN/CCN 9/10/21, Failed via COS-IF 10/1/21	3	2a	pcDNA3.1	30											
	323*	S-31	L121/42	Failed via COS-IF 7/19/21	3	2a	pcDNA3.1	31											
	395*	S-32	L107/39	Passed validation via COS-IF 08/26/21, shipped to Addgene 1/11/22	3	2a	pcDNA3.1	32											
	397*	S-33	L109/39	Failed via COS-IF 10/1/21	3	2a	pcDNA3.1	33											
	50	S-34	N19/2	Failed via COS-IF 10/1/21	3	2a	pcDNA3.1	34											
	58	S-36	L23/27	Failed via COS-IF 6/29/22	3	2a	pcDNA3.1	36											
	36	S-37	N134/12	Passed validation via COS-IF 04/7/22, shipped to Addgene 8/11/22	3	2a	pcDNA3.1	37											
	53	S-38	K64/15	Failed via COS-IF 10/15/21	3	2a	pcDNA3.1	38											
	337*	S-39	L117/1	Passed validation via COS-IF 10/1/21, shipped to Addgene 1/11/22	3	2a	pcDNA3.1	39											
	418	S-40	L119/106	Failed via COS-IF 10/15/21	3	2a	pcDNA3.1	40											
	398*	S-41	L113/27	Passed validation via COS-IF 6/27/22, shipped to Addgene 8/11/22	3	2a	pcDNA3.1	41											
gBlock needed	277*	S-42	L106/83					42											
	47	S-43	K67/25	Failed via COS-IF 6/15/22	3	2a	pcDNA3.1	43											
investigate/redo evaluation	59	S-44	N74/25	Failed via COS-IF 5/9/23	4	2a	pcDNA3.1	44											
no need as trial set worked	14	S-46	K65/35					46											
	274	S-47	L118/80	Failed via COS-IF 6/29/22	3	2a	pcDNA3.1	47											
investigate	424	S-48	L125/121					48											
	400*	S-49	L120/12	Passed validation via COS-IF 6/27/22, shipped to Addgene 8/11/22	3	2a	pcDNA3.1	49											
	452*	S-50	N452/73	Passed validation via COS-IF 6/29/22, shipped to Addgene 8/11/22	3	2a	pcDNA3.1	50											
	60	S-52	N138/6	Failed via COS-IF 6/29/22	3	2a	pcDNA3.1	52											
	401*	S-55	L121/25	Failed via COS-IF 6/27/22	3	2a	pcDNA3.1	55											
	403*	S-56	L126/93	Failed via COS-IF 6/27/22	3	2a	pcDNA3.1	56											
	428*	S-57	L118/66	Failed via COS-IF 4/7/22	3	2a	pcDNA3.1	57											
which VL was used	6	S-58	L21/32	Failed via COS-IF 6/27/22	3	2a	pcDNA3.1	58											
	12	S-59	N59/20	Passed validation via COS-IF 10/1/21, shipped to Addgene 1/11/22	3	2a	pcDNA3.1	59											
	61	S-60	N18/30	Failed via COS-IF 10/1/21	3	2a	pcDNA3.1	60											
no need as trial set worked	20	S-61	N355/1	gBlock ordered		2a	pcDNA3.1	61											
	309*	S-63	L124/59	Passed validation via CHN/CCN-IF 9/10/21, shipped to Addgene 1/11/22	3	2a	pcDNA3.1	63											
	404*	S-64	L127/8	Passed validation via COS-IF 6/29/22, shipped to Addgene 8/11/22	3	2a	pcDNA3.1	64											
	431*	S-65	L122/68	Passed validation via CHN/CCN-IF 9/3/21, shipped to Addgene 1/11/22, reshipped in shipment scheduled for June 2022	3	2a	pcDNA3.1	65											
	17	S-66	N68/6	Failed via COS-IF 2/24/23	4	2a	pcDNA3.1	66											
no need S-111 passed	29	S-67	N1/12	Passed sequencing, transfected, pending validation		2a	pcDNA3.1	67											
gBlock	31	S-68	N103/39					68											
	15	S-69	N59/36	Failed via COS-IF 8/26/21	3	2a	pcDNA3.1	69											
	38	S-70	N103/31	Passed validation via COS-IF 08/26/21, shipped to Addgene 1/11/22	3	2a	pcDNA3.1	70											
Investigate	283*	S-71	L106/4	Passed sequencing, transfected, COS-IF validation inconclusive		2a	pcDNA3.1	71											
	429*	S-72	L120/30	Failed via COS-IF 6/14/22	3	2a	pcDNA3.1	72											
	56	S-73	N87/25	Failed via COS-IF 6/29/22	3	2a	pcDNA3.1	73											
	46	S-74	K20/78	Passed validation via COS-IF 07/19/21, shipped to Addgene 1/11/22, reshipped in shipment scheduled for June 2022	3	2a	pcDNA3.1	74											
	42	S-75	K28/86	Failed via COS-IF 8/26/21	3	2a	pcDNA3.1	75											
	35	S-76	N106/65	Failed via COS-IF 8/26/21	3	2a	pcDNA3.1	76											
	32	S-77	N97A/31	Failed via COS-IF 10/15/21	3	2a	pcDNA3.1	77											
no need S-154 worked	62	S-78	K60/73					78											
	393*	S-80	N483/126	Passed validation via COS-IF 08/26/21, shipped to Addgene 1/11/22	3	2a	pcDNA3.1	80											
	19	S-81	A12/18	Passed validation via IHC 6/30/22, shipped to Addgene 8/11/22	3	2t	pcDNA3.1	81											
	58	S-82	L23/27	Passed validation via COS-IF 4/7/22, shipped to Addgene 8/11/22	3	2t	pcDNA3.1	82											
		S-83	L100/1	Failed via COS-IF 2/4/22, Failed via CHN/CCN 4/11/22	3	2t	pcDNA3.1	83											
	322	S-84	L115/13	Passed validation via COS-IF 1/13/22, shipped to Addgene 8/11/22	3	2t		84											
	323	S-85	L121/42	Failed via COS-IF 2/4/22	3	2t	pcDNA3.1	85											
	48	S-86	N71/37	Failed via COS-IF 4/7/22	3	2t	pcDNA3.1	86											
	13	S-87	N133/21	Failed via COS-IF 2/4/22	3	2t	pcDNA3.1	87											
	20	S-88	N355/1	Failed via COS-IF 1/24/22	3	2t	pcDNA3.1	88											
	16	S-89	N112B/14	Failed via COS-IF 2/4/22	3	2t	pcDNA3.1	89											
	33	S-90	K69/3	Failed via COS-IF 6/29/22	3	2t	pcDNA3.1	90											
	34	S-91	L57/46	Failed via COS-IF 2/4/22	3	2t	pcDNA3.1	91											
	37	S-92	N23B/49	Passed validation via IHC 3/30/22, shipped to Addgene 8/11/22	3	2t	pcDNA3.1	92											
	41	S-93	K75/41	Failed via COS-IF 2/22/22	3	2t	pcDNA3.1	93											
	39	S-94	N114/10	Passed validation via COS-IF 4/7/22, shipped to Addgene 8/11/22	3	2t	pcDNA3.1	94											
	49	S-95	N367/62	Failed via COS-IF 2/22/22	3	2t	pcDNA3.1	95											
	52	S-96	N170A/1	Passed validation via COS-IF 2/22/22, shipped to Addgene 8/11/22	3	2t	pcDNA3.1	96											
	60	S-97	N74/25	Failed via IHC 3/30/22	3	2t	pcDNA3.1	97											
	112	S-98	L121/25	Failed via COS-IF 4/7/22	3	2t	pcDNA3.1	98											
	117	S-99	L113/130	Passed validation via COS-IF 3/15/22, shipped to Addgene 8/11/22	3	2t	pcDNA3.1	99											
	118	S-100	L113/13 	Passed validation via COS-IF 3/15/22, shipped to Addgene 8/11/22	3	2t	pcDNA3.1	100											
	119	S-101	L113/27	Passed validation via COS-IF 3/15/22, shipped to Addgene 8/11/22	3	2t	pcDNA3.1	101											
	131	S-102	L120/12	Failed via COS-IF 6/29/22	3	2t	pcDNA3.1	102											
	132	S-103	L120/30	Failed via COS-IF 6/29/22	3	2t	pcDNA3.1	103											
	134	S-104	L126/93	TC Supes collected 10-Mar-22, COS-IF fail 3/29/22	3	2t	pcDNA3.1	104											
investigate/redo evaluation	404	S-105	L127/8	Failed via COS-IF 6/5/23	4	2t	pcDNA3.1	105											
	2	S-106	N106/36	Failed via IHC  3/31/22	3	2t	pcDNA3.1	106											
which VL was used	6	S-107	L21/32	TC Supes collected 10-Mar-22, COS-IF fail 3/29/22	3	2t	pcDNA3.1	107											
	12	S-108	N59/20	Passed validation via COS-IF 3/29/22, shipped to Addgene 8/11/22	3	2t	pcDNA3.1	108											
	15	S-109	N59/36	Passed validation via COS-IF 3/29/22, shipped to Addgene 8/11/22	3	2t	pcDNA3.1	109											
try as VL-VH	21	S-110	K57/1	TC Supes collected 10-Mar-22, COS-IF fail 3/29/22	3	2t	pcDNA3.1	110											
	29	S-111	N1/12	Passed validation via IHC 3/31/22, shipped to Addgene 8/11/22	3	2t	pcDNA3.1	111											
	32	S-112	N97A/31	Failed via COS-IF 5/3/2022	3	2t	pcDNA3.1	112											
	35	S-113	N106/65	Failed via IHC 3/31/22	3	2t	pcDNA3.1	113											
	36	S-114	N134/12	Passed validation via COS-IF 4/7/22, shipped to Addgene 8/11/22	3	2t	pcDNA3.1	114											
	38	S-115	N103/31	Passed validation via COS-IF 3/29/22, shipped to Addgene 8/11/22	3	2t	pcDNA3.1	115											
	42	S-116	K28/86	Failed via COS-IF 3/29/22	3	2t	pcDNA3.1	116											
test	17	S-117	N68/6	Failed via COS-IF 2/24/23	4	2t	pcDNA3.1	117											
	46	S-118	K20/78	Passed validation via COS-IF 3/29/22, shipped to Addgene 8/11/22	3	2t	pcDNA3.1	118											
	283	S-119	L106/4	TC Supes collected 17-Mar-22, COS-IF fail 3/31/22	3	2t	pcDNA3.1	119											
	337	S-120	L117/1	Passed validation via COS-IF 3/29/22, shipped to Addgene 8/11/22	3	2t	pcDNA3.1	120											
	431	S-121	L122/68	Failed via COS-IF 5/3/2022	3	2t	pcDNA3.1	121											
	395	S-122	L107/39	Failed via COS-IF 3/29/22	3	2t	pcDNA3.1	122											
	428	S-123	L118/66	Failed via COS-IF 5/3/2022	3	2t	pcDNA3.1	123											
investigate/do evaluation	430	S-124	L122/6	Failed via COS-IF 5/3/2022	3	2t	pcDNA3.1	124											
	53	S-125	K64/15	Failed via COS-IF 4/7/2022	3	2t	pcDNA3.1	125											
	47	S-126	K67/25	Failed via COS-IF 4/7/2022	3	2t	pcDNA3.1	126											
	44	S-127	N221/17	Failed via COS-IF 2/24/23	4	2t	pcDNA3.1	127											
	396	S-128	L108/92	Failed via COS-IF 5/3/2022	3	2t	pcDNA3.1	128											
	414	S-129	L109/39	Failed via COS-IF 5/3/2022	3	2t	pcDNA3.1	129											
	274	S-130	L118/80	Failed via COS-IF 5/3/2022	3	2t	pcDNA3.1	130											
	418	S-131	L119/106	Failed via COS-IF 5/3/2022	3	2t	pcDNA3.1	131											
	309	S-132	L124/59	Passed validation via brain IHC  6/20/22, shipped to Addgene 8/11/22	3	2t	pcDNA3.1	132											
	465	S-133	L125/129	Failed via COS-IF 5/3/2022	3	2t	pcDNA3.1	133											
	60	S-134	N138/6	Failed via IHC 6/26/22	3	2t	pcDNA3.1	134											
	61	S-135	N18/30	Failed via COS-IF 5/3/2022	3	2t	pcDNA3.1	135											
	50	S-136	N19/2	Failed via COS-IF 5/3/2022	3	2t	pcDNA3.1	136											
	452	S-137	N452/73	Passed validation via COS-IF 6/14/22, shipped to Addgene 8/11/22	3	2t	pcDNA3.1	137											
	453	S-138	N452/81	Passed validation via COS-IF 6/14/22, shipped to Addgene 8/11/22	3	2t	pcDNA3.1	138											
	393	S-139	N483/126	Passed validation via COS-IF 5/3/2022, shipped to Addgene 8/11/22	3	2t	pcDNA3.1	139											
	56	S-140	N87/25	Failed via COS-IF 6/29/22	3	2t	pcDNA3.1	140											
	64	S-141	K28/74	Passed validation via brain IHC 6/26/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	141											
	67	S-142	N26A/23	Failed via COS-IF 6/29/22	3	3	pcDNA3.4	142											
	149	S-143	L76/36	Passed validation via COS-IF 6/14/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	143											
	126	S-144	N207/27	Passed validation via COS-IF 6/14/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	144											
	155	S-145	N393/2	Passed validation via brain IHC  6/20/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	145											
	165	S-146	N414/25	Passed validation via COS-IF 6/14/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	146											
	68	S-147	N67/15	Passed validation via COS-IF 6/14/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	147											
	Not ranked	S-148	L127/12	Failed via IHC 062622	3	3	pcDNA3.4	148											
	97	S-149	N10/7	Failed via COS-IF 6/14/22	3	3	pcDNA3.4	149											
investigate/do evaluation	130	S-150	N192/12	TC Supes Collected 25-May-22, inconclusive COS-IF, IHC 6/27/22		3	pcDNA3.4	150											
	467	S-151	N483/26	Passed validation via COS-IF 6/29/22, shipped to Addgene 8/11/22	3	3	pcDNA3.4	151											
