,entry__mabid,"('stars-mean', 'Heavy')","('stars-mean', 'Light')","('stars-max', 'Heavy')","('stars-max', 'Light')","('stars-min', 'Heavy')","('stars-min', 'Light')","('stars-std', 'Heavy')","('stars-std', 'Light')","('stars-count', 'Heavy')","('stars-count', 'Light')",drops_all,drops_lc,drops_hc,trimmer_ids,Tube,Cell Type,Freezer-Rack-Box-Location,Freezer,Rack,Box,Location,Date,"('stars', 'Heavy')","('stars', 'Light')","('full_mabid', 'Heavy')","('full_mabid', 'Light')","('pks', 'Heavy')","('pks', 'Light')","('asv_support', 'Heavy')","('asv_support', 'Light')","('total_reads', 'Heavy')","('total_reads', 'Light')"
,19E10,,,,,,,,,,,,,,,19E10,Immortality,3.0-3.0-1.0-100.0,3.0,3.0,1.0,100.0,nan,,,,,,,,,,
1D8,1D8,1.9633333333333332,1.8466666666666667,1.98,1.94,1.95,1.7,0.015275252316519439,0.1285820101465727,3.0,3.0,,,,,,,,,,,,,"1.98
1.96
1.95","1.94
1.7
1.9","1D8.1
1D8.4
1D8.5","1D8.1
1D8.4
1D8.5","27
19385
19395","118
19511
19522","120.00000
7280.00000
9970.00000","1716.00000
6420.00000
8633.00000","121
7429
10204","1767
7555
9100"
1F1,1F1,1.415,1.3825,1.92,1.97,0.46,0.25,0.674561586019641,0.7742254193708703,4.0,4.0,0.0,0.0,0.0,"1F1.1.1.5, 1F1.1.1.5",,,,,,,,,"1.92
1.86
1.42
0.46","1.97
1.76
1.55
0.25","1F1.1.1.5
1F1.1.1.15
1F1.1.1.18
1F1.1.1.18","1F1.1.1.5
1F1.1.1.15
1F1.1.1.18
1F1.1.1.18","17210
19838
19846
19847","17305
19934
19941
19942","606.00000
3892.00000
280.00000
90.00000","294.00000
1720.00000
119.00000
19.00000","630
4190
395
395","298
1953
154
154"
62-3G1,62-3G1,1.9766666666666666,1.8766666666666667,1.99,1.97,1.97,1.82,0.011547005383792558,0.08144527815247073,3.0,3.0,,,,,,,,,,,,,"1.99
1.97
1.97","1.97
1.82
1.84","62-3G1.1
62-3G1.2
62-3G1.3","62-3G1.1
62-3G1.2
62-3G1.3","20
19405
19416","109
19531
19544","1118.00000
4525.00000
3025.00000","1738.00000
4604.00000
2967.00000","1121
4603
3078","1764
5049
3219"
,6H3R6,,,,,,,,,,,,,,,6H3R6,Subclone,0.0-C-7-7.0,0.0,C,7,7.0,06/20/92,,,,,,,,,,
8G10,8G10,1.97,1.52,1.97,1.52,1.97,1.52,,,1.0,1.0,,,,,,,,,,,,,1.97,1.52,8G10.1,8G10.1,19891,20002,192.00000,260.00000,195,341
A12/18,A12/18,3.8833333333333333,3.83,3.97,3.94,3.81,3.74,0.08082903768654752,0.10148891565092207,3.0,3.0,0.0,0.0,0.0,"A12/18.1, A12/18.1",,,,,,,,,"3.97
3.87
3.81","3.94
3.81
3.74","A12/18.1
A12/18.1
A12/18.1","A12/18.1
A12/18.1
A12/18.1","17245
19849
19900","17350
19943
20015","51.00000
705.00000
614.00000","308.00000
1711.00000
1917.00000","51
743
670","313
1866
2165"
,D1/1,,,,,,,,,,,,,,,D1/1.1,Subclone,0.0-C-7-85.0,0.0,C,7,85.0,08/05/93,,,,,,,,,,
,D1/2,,,,,,,,,,,,,,,D1/2.1,Subclone,0.0-C-7-86.0,0.0,C,7,86.0,11/10/93,,,,,,,,,,
,D1/5,,,,,,,,,,,,,,,D1/5.1,Subclone,0.0-C-7-87.0,0.0,C,7,87.0,08/05/93,,,,,,,,,,
D3/71,D3/71,3.13,3.08,3.13,3.08,3.13,3.08,,,1.0,1.0,,,,,,,,,,,,,3.13,3.08,D3/71.1,D3/71.1,17068,17176,883.00000,422.00000,898,439
D3/71R,D3/71R,2.0,2.0,2.0,2.0,2.0,2.0,,,1.0,1.0,,,,,,,,,,,,,2.0,2.0,D3/71R,D3/71R,25060,25061,1.00000,1.00000,1,1
D4/104,D4/104,1.8675000000000002,1.8333333333333333,2.31,2.73,1.37,1.36,0.4028543988423938,0.7769384359994896,4.0,3.0,0.0,0.0,0.0,"D4/104.3, D4/104.3",,,,,,,,,"2.31
2.04
1.75
1.37","2.73
1.36
1.41","D4/104.3
D4/104.4
D4/104.4
D4/104.4","D4/104.3
D4/104.4
D4/104.4","17416
20771
20772
20773","17444
20860
20861","42.00000
1935.00000
1287.00000
456.00000","433.00000
9547.00000
1974.00000","73
4379
4379
4379","553
15593
15593"
D4/11,D4/11,4.18,4.146666666666667,4.19,4.16,4.17,4.13,0.010000000000000675,0.015275252316519893,3.0,3.0,,,,,,,,,,,,,"4.19
4.18
4.17","4.13
4.16
4.15","D4/11.2
D4/11.4
D4/11.5","D4/11.2
D4/11.4
D4/11.5","17246
19432
19445","17351
19562
19576","987.00000
172.00000
1849.00000","1293.00000
224.00000
1998.00000","998
175
1892","1347
230
2066"
D4/112,D4/112,3.1,2.485,3.1,2.92,3.1,2.05,,0.6151828996322964,1.0,2.0,2.0,2.0,2.0,"D4/112.1, D4/112.1, D4/112.1, D4/112.1",,,,,,,,,3.1,"2.05
2.92",D4/112.5,"D4/112.1
D4/112.5",20782,"17579
20870",844.00000,"5654.00000
1561.00000",872,"5828
1774"
D4/133,D4/133,2.125,1.07,2.75,1.42,1.5,0.37,0.8838834764831844,0.606217782649107,2.0,3.0,,,,,,,,,,,,,"2.75
1.5","1.42
0.37
1.42","D4/133.1
D4/133.1","D4/133.1
D4/133.1
D4/133.1","16693
16694","16840
16841
16842","1069.00000
228.00000","1549.00000
376.00000
338.00000","1349
1349","2596
2596
2596"
D4/135,D4/135,2.03,,2.03,,2.03,,,,1.0,,0.0,2.0,0.0,"D4/135.1, D4/135.1, D4/135.2, D4/135.2, D4/135.3, D4/135.3",,,,,,,,,2.03,,D4/135.1,,16706,,173.00000,,201,
D4/152,D4/152,3.8800000000000003,2.92,4.23,3.77,3.44,1.5,0.40261644278394826,1.2376994788719915,3.0,3.0,,,,,,,,,,,,,"4.23
3.97
3.44","3.77
3.49
1.5","D4/152.1
D4/152.3
D4/152.4","D4/152.1
D4/152.3
D4/152.4","16767
19465
19477","16926
19600
19612","3590.00000
38.00000
150.00000","5018.00000
121.00000
4859.00000","3766
46
268","5202
147
6468"
D4/154,D4/154,3.76,2.698,3.77,4.09,3.75,0.47,0.01414213562373112,1.5439138577006166,2.0,5.0,0.0,0.0,2.0,"D4/154.3, D4/154.3",,,,,,,,,"3.75
3.77","3.73
0.47
4.09
3.48
1.72","D4/154.1
D4/154.2","D4/154.1
D4/154.1
D4/154.2
D4/154.3
D4/154.3","16720
19433","16870
16871
19563
19577
19578","1883.00000
2815.00000","848.00000
187.00000
1582.00000
33.00000
16.00000","1969
2918","1202
1202
1792
57
57"
D4/16,D4/16,3.08,3.115,3.09,3.12,3.07,3.11,0.014142135623730807,0.007071067811865481,2.0,2.0,0.0,0.0,0.0,"D4/16.3, D4/16.3",,,,,,,,,"3.07
3.09","3.11
3.12","D4/16.1
D4/16.2","D4/16.1
D4/16.2","16750
19456","16907
19588","5142.00000
3213.00000","3502.00000
1578.00000","5398
3329","3587
1607"
,D4/176,,,,,,,,,,,2.0,2.0,2.0,"D4/176.1, D4/176.1, D4/176.5, D4/176.5, D4/176.1, D4/176.1",,,,,,,,,,,,,,,,,,
,D4/181,,,,,,,,,,,0.0,0.0,0.0,"D4/181.1, D4/181.1",,,,,,,,,,,,,,,,,,
D4/194,D4/194,2.21,2.07,2.21,2.07,2.21,2.07,,,1.0,1.0,,,,,,,,,,,,,2.21,2.07,D4/194.1,D4/194.1,16752,16908,730.00000,439.00000,796,519
D4/27,D4/27,3.3233333333333337,3.47,3.77,3.78,2.43,2.85,0.7736493607140985,0.5369357503463518,3.0,3.0,,,,,,,,,,,,,"2.43
3.77
3.77","2.85
3.78
3.78","D4/27.1
D4/27.2
D4/27.3","D4/27.1
D4/27.2
D4/27.3","16741
19457
19463","16894
19589
19597","1919.00000
5873.00000
6365.00000","2606.00000
5658.00000
6196.00000","2194
6092
6577","3083
5818
6389"
D4/40,D4/40,4.036666666666666,4.043333333333334,4.13,4.12,3.89,3.97,0.1285820101465723,0.07505553499465141,3.0,3.0,,,,,,,,,,,,,"4.09
4.13
3.89","3.97
4.12
4.04","D4/40.2
D4/40.3
D4/40.4","D4/40.2
D4/40.3
D4/40.4","16766
19474
19485","16925
19609
19621","783.00000
1620.00000
150.00000","541.00000
933.00000
113.00000","835
1691
179","615
976
124"
D4/49,D4/49,3.3699999999999997,2.31,3.81,2.77,2.58,1.56,0.6856383886568779,0.5216001022494788,3.0,4.0,,,,,,,,,,,,,"2.58
3.72
3.81","2.77
1.56
2.46
2.45","D4/49.1
D4/49.2
D4/49.3","D4/49.1
D4/49.1
D4/49.2
D4/49.3","17078
19413
19424","17184
17185
19540
19552","1795.00000
2529.00000
6274.00000","1711.00000
269.00000
6050.00000
3045.00000","1892
2687
6378","2128
2128
10517
4711"
,D4/67,,,,,,,,,,,0.0,0.0,0.0,"D4/67.5, D4/67.5",,,,,,,,,,,,,,,,,,
,D4/81,,,,,,,,,,,0.0,0.0,0.0,"D4/81.1, D4/81.1, D4/81.2, D4/81.2, D4/81.3, D4/81.3",,,,,,,,,,,,,,,,,,
D43/43,D43/43,2.0,2.26,2.0,2.26,2.0,2.26,,,1.0,1.0,,,,,,,,,,,,,2.0,2.26,D43/43.2,D43/43.2,16774,16935,22.00000,32.00000,27,34
EA7,EA7,0.685,1.2266666666666666,0.85,1.91,0.52,0.38,0.2333452377915607,0.7779674371934427,2.0,3.0,0.0,0.0,2.0,"EA7.2, EA7.2",,,,,,,,,"0.85
0.52","1.91
1.39
0.38","EA7.2
EA7.2","EA7.2
EA7.2
EA7.2","19898
19899","124
20013
20014","526.00000
323.00000","509.00000
3550.00000
965.00000","1236
1236","533
5111
5111"
EMPTY,EMPTY,1.79,1.74,1.79,1.74,1.79,1.74,,,1.0,1.0,,,,,,,,,,,,,1.79,1.74,EMPTY,EMPTY,23935,24027,59.00000,41.00000,66,47
,HD5/32,,,,,,,,,,,,,,,HD5/32.08,Subclone,7.0-6.0-3.0-17.0,7.0,6.0,3.0,17.0,MP/AGM/WL,,,,,,,,,,
,HD5A/72,,,,,,,,,,,,,,,HD5A/72.5,Subclone,4.0-11.0-2.0-81.0,4.0,11.0,2.0,81.0,09/14/18,,,,,,,,,,
,HD6/26,,,,,,,,,,,,,,,HD6/26.3,Subclone,2.0-7-11-25.0,2.0,7,11,25.0,nan,,,,,,,,,,
,HD6/3,,,,,,,,,,,,,,,HD6/3.1,Subclone,2.0-7-11-24.0,2.0,7,11,24.0,nan,,,,,,,,,,
,HD6/8,,,,,,,,,,,,,,,HD6/8.2.1,Subclone,2.0-7-11-26.0,2.0,7,11,26.0,nan,,,,,,,,,,
,Hek293c18,,,,,,,,,,,,,,,Hek293c18,Immortality,2.0-2-4-82.0,2.0,2,4,82.0,03/03/20,,,,,,,,,,
K13/31,K13/31,4.09,3.3,4.19,3.98,4.02,1.73,0.08888194417315642,1.0657391800998965,3.0,4.0,0.0,0.0,0.0,"K13/31.2, K13/31.2, K13/31.2, K13/31.2",,,,,,,,,"4.06
4.02
4.19","3.98
3.95
3.54
1.73","K13/31.2
K13/31.2
K13/31.3","K13/31.2
K13/31.2
K13/31.3
K13/31.3","17025
19826
20988","17130
19921
21099
21100","2453.00000
1632.00000
7230.00000","1328.00000
1704.00000
5332.00000
2492.00000","2506
1696
7742","1410
1839
8758
8758"
K13/31R,K13/31R,2.0,2.0,2.0,2.0,2.0,2.0,,,1.0,1.0,,,,,,,,,,,,,2.0,2.0,K13/31R,K13/31R,25062,25063,1.00000,1.00000,1,1
K14/16,K14/16,3.8716666666666666,4.301666666666667,4.6,4.88,2.21,2.12,0.9716052010290321,1.0740841059557054,6.0,6.0,0.0,0.0,0.0,"K14/16.3, K14/16.3",,,,,,,,,"4.6
4.32
4.52
2.21
4.42
3.16","4.88
4.66
4.83
2.12
4.73
4.59","K14/16.4
K14/16.2.1
K14/16.2.2
K14/16.2.1
K14/16.2.1
K14/16.2","K14/16.4
K14/16.2.1
K14/16.2.2
K14/16.2.1
K14/16.2.1
K14/16.2","18405
19860
19868
21631
24813
25208","18507
19960
19973
21733
24867
25238","6183.00000
1230.00000
933.00000
1267.00000
4238.00000
834.00000","5984.00000
1666.00000
1332.00000
2227.00000
5442.00000
1186.00000","6275
1313
987
1379
4286
835","6223
1796
1418
2348
5642
1452"
K14/16R,K14/16R,2.0,2.0,2.0,2.0,2.0,2.0,,,1.0,1.0,,,,,,,,,,,,,2.0,2.0,K14/16R,K14/16R,25064,25065,1.00000,1.00000,1,1
K14/39,K14/39,4.687142857142858,4.54,4.98,4.82,3.46,3.28,0.5730536416344251,0.6175759062657806,7.0,6.0,2.0,2.0,2.0,"K14/39.1, K14/39.1, K14/39.5.1, K14/39.5.1",,,,,,,,,"3.46
4.98
4.97
4.98
4.97
4.98
4.47","3.28
4.82
4.77
4.78
4.78
4.81","K14/39.1
K14/39.5
K14/39.5.2
K14/39.5.3
K14/39.5.4
K14/39.5.5
K14/39.2","K14/39.1
K14/39.5
K14/39.5.2
K14/39.5.3
K14/39.5.4
K14/39.5.5","17415
20442
20457
20464
20472
20481
20659","17441
20530
20544
20553
20561
20569","32.00000
5747.00000
10295.00000
16318.00000
2859.00000
11503.00000
200.00000","72.00000
5598.00000
8652.00000
16639.00000
2656.00000
11939.00000","139
5816
10426
16497
2900
11620
272","510
6168
9770
18692
2976
13204"
K17/24,K17/24,4.5,4.495,4.88,4.88,3.94,3.99,0.35760313197733595,0.3931284777270658,6.0,6.0,0.0,0.0,0.0,"K17/24.6, K17/24.6",,,,,,,,,"4.57
4.59
3.94
4.8
4.22
4.88","4.67
4.51
3.99
4.87
4.05
4.88","K17/24.1
K17/24.2
K17/24.3
K17/24.4
K17/24.5
K17/24.1","K17/24.1
K17/24.2
K17/24.3
K17/24.4
K17/24.5
K17/24.1","6592
6600
6607
6613
6618
18049","6673
6681
6689
6698
6704
18161","103.00000
58.00000
32.00000
323.00000
14.00000
903.00000","224.00000
53.00000
51.00000
543.00000
21.00000
1247.00000","131
73
68
359
23
963","269
70
103
582
40
1325"
,K17/25,,,,,,,,,,,,,,,K17/25.6,Subclone,0.0-F-4-24.0,0.0,F,4,24.0,08/21/95,,,,,,,,,,
