,mabid,id,Heavy,Light,times_sequenced
0,,1,1.0,1.0,1
1,10% N48676,2,5.0,5.0,2
2,12CA5,1,1.0,3.0,1
3,1D8,3,3.0,3.0,3
4,1F1,3,7.0,4.0,3
5,20% N486/76,2,5.0,5.0,2
6,25% N486/76,2,6.0,6.0,2
7,60% N486/76,2,4.0,4.0,2
8,62-3G1,3,3.0,3.0,3
9,80% N486/76,2,4.0,4.0,2
10,8G10,1,1.0,1.0,1
11,8G10 + N268/19,2,3.0,4.0,2
12,A12/18,4,4.0,4.0,4
13,D3/71,1,1.0,1.0,1
14,D3/71R,1,1.0,1.0,1
15,D4/104,2,6.0,4.0,2
16,D4/11,3,3.0,3.0,3
17,D4/112,2,1.0,2.0,2
18,D4/133,1,2.0,4.0,1
19,D4/135,1,2.0,,1
20,D4/152,3,4.0,4.0,3
21,D4/154,3,2.0,6.0,3
22,D4/16,2,3.0,2.0,2
23,D4/194,1,1.0,1.0,1
24,D4/27,3,4.0,5.0,3
25,D4/40,3,4.0,3.0,3
26,D4/49,3,5.0,8.0,3
27,D4/67,1,4.0,8.0,1
28,D43/43,1,1.0,1.0,1
29,EA7,2,2.0,3.0,2
30,Empty for negative control,3,3.0,3.0,3
31,K13/31,3,3.0,5.0,3
32,K13/31R,1,1.0,1.0,1
33,K14/16,5,5.0,5.0,5
34,K14/16R,1,1.0,1.0,1
35,K14/39,7,7.0,7.0,7
36,K17/24,6,6.0,6.0,6
37,K17/70,7,7.0,7.0,7
38,K17/70R,1,1.0,1.0,1
39,K19/13,2,2.0,2.0,2
40,K19/2,2,2.0,3.0,2
41,K19/36,5,5.0,5.0,5
42,K19/36R,1,1.0,1.0,1
43,K19/46,7,7.0,7.0,7
44,K19/5,1,1.0,1.0,1
45,K20/2,1,1.0,,1
46,K20/41,1,,1.0,1
47,K20/58,1,1.0,1.0,1
48,K20/59,1,1.0,1.0,1
49,K20/74,1,1.0,1.0,1
50,K20/77,7,7.0,7.0,7
51,K20/78,15,15.0,43.0,15
52,K20/78R,1,1.0,1.0,1
53,K20/8,1,2.0,2.0,1
54,K20/82,1,1.0,1.0,1
55,K20/83,1,1.0,1.0,1
56,K20/86,1,1.0,1.0,1
57,K20/88,1,,2.0,1
58,K20/89,1,,1.0,1
59,K20/91,1,1.0,1.0,1
60,K21/1,1,1.0,1.0,1
61,K25/59,1,,1.0,1
62,K25/73,4,4.0,4.0,4
63,K25/73R,1,1.0,1.0,1
64,K28/1,1,1.0,1.0,1
65,K28/10,1,4.0,3.0,1
66,K28/11,1,1.0,1.0,1
67,K28/12,1,2.0,2.0,1
68,K28/13,1,1.0,2.0,1
69,K28/14,1,3.0,3.0,1
