,cat,parents,sublcones
0,5.0,"['31', '31', '31', '31', '31']","['positivecontrol1_N263/31.1', 'positivecontrol1_N263/31.1', 'N263/31.3', 'N263/31.3', 'N263/31.4']"
1,-1.0,"['1', '1', '1', '1', '114', '1', '1', '1', '1', '1', '13', '13', '22', '22', '22', '22', '76', '76', '76', '1']","['L130/1.1', 'positivecontrol1_L130/1', 'positivecontrol1_L130/1', 'positivecontrol1_L130/1', 'L121/114', 'positivecontrol1_L130/1', 'positivecontrol1_L130/1', 'positivecontrol1_L130/1', 'L130/1.2', 'L130/1.3', 'cells_80% N100/13.1 + 20% L130/1.1', 'RNA_80% N100/13.1 + 20% L130/1.1', 'cells_50% N470/22.1 + 50% L130/1.1', 'RNA_50% N470/22.1+50% L130/1.1', 'cells_80% N470/22.1 + 10% L71/5.5 + 10% L130/1.1', 'RNA_80% N470/22.1 + 10% L71/5.5 + 10% L130/1.1', 'cells_25% N486/76.2 + 25% N100/13.1 + 25% N470/22.1 + 25% L130/1.1', 'cells_20% N486/76.1 + 20% L71/5.5 + 20% L130/1.1 + 20% N470/22.1 + 20% N100/13.1', 'RNA_20% N486/76.1+20%L71/5.5+20%L130/1.1+20%N470/22.1+20%N100/13.1', 'L130/1.5']"
2,2.0,"['21', '21', '21', '21', '21']","['L80/21.1', 'L80/21.4', 'L80/21.5', 'L80/21.3', 'L80/21.2']"
3,2.0,"['83', '83']","['L106/83.1', 'L106/83.2']"
4,5.0,"['76', '76', '76', '76', '76', '76', '12', '76', '76', '76', '76', '76', '76', '76', '76', '76', '76', '76', '76', '76', '5', '76', '76', '22', '13', '76', '12', '76', '76', '76', '76', '76', '76']","['N486/76.1', 'N486/76.4', 'N486/76.3', 'N486/76.2', 'N486/76.5', '25% N486/76.1 + 25% L120/12.1 + 50% L71/5.5 cells', '10% N48676.1 + 30% L120/12.1 + 60% L71/5.5 cells', '80% N486/76.1 + 10% L120/12.1 + 10% L71/5.5 cells', '60% N486/76.1 + 10% L120/12.1 + 30% L71/5.5 cells', '20% N486/76.1 + 70% L120/12.1 + 10% L71/5.5 cells', '25% N486/76.1 + 25% L120/12.1 + 50% L71/5.5 RNA', '80% N486/76.1 + 10% L120/12.1 + 10% L71/5.5 RNA', '60% N486/76.1 + 10% L120/12.1 + 30% L71/5.5 RNA', '20% N486/76.1 + 70% L120/12.1 + 10% L71/5.5 RNA', 'cells_50% N486/76.1 + 50% N100/13.1', 'RNA_50% N486/76.1 + 50% N100/13.1', 'P65RNA_25% N486/76.1 + 25% L120/12.1 + 50% L71/5.5', 'cells_75% N486/76.1 + 25% L71/5.5', 'RNA_75% N486/76.1 +25% L71/5.5', 'P65RNA_10% N486/76.1 + 30% L120/12.1 + 60% L71/5.5', 'RNA_50% L71/5.5 + 10% N486/76.1 + 40% N100/13.1', 'P65RNA_80% N486/76.1 + 10% L120/12.1 + 10% L71/5.5', 'P65RNA_60% N486/76.1 + 10% L120/12.1 + 30% L71/5.5', 'RNA_50% N470/22.1+50% L130/1.1', 'RNA_60% N100/13.1 + 20% N486/76.1 + 20% N470/22.1', 'P65RNA_RNA: 25% N486/76.1 + 25% L120/12.1 + 50% L71/5.5', 'RNA: 10% N48676.1 + 30% L120/12.1 + 60% L71/5.5', 'P65RNA_RNA: 80% N486/76.1 + 10% L120/12.1 + 10% L71/5.5', 'p65RNA_RNA: 60% N486/76.1 + 10% L120/12.1 + 30% L71/5.5', 'N486/76.1', 'P65RNA_RNA: 20% N486/76.1 + 70% L120/12.1 + 10% L71/5.5', 'cells_20% N486/76.1 + 20% L71/5.5 + 20% L130/1.1 + 20% N470/22.1 + 20% N100/13.1', 'RNA_20% N486/76.1+20%L71/5.5+20%L130/1.1+20%N470/22.1+20%N100/13.1']"
5,-1.0,"['N123/48.1', 'N123/48.2', 'N123/48.1', '1F1.1.1.18']","['N123/48.1', 'N123/48.2', 'N123/48.1', '1F1.1.1.18']"
6,5.0,"['12', '76', '12', '76', '76', '76', '76', '12', '76', '12', '12', '76', '76', '76', '76', '76', '76', '12', '76', '76', '12']","['L120/12.1', '25% N486/76.1 + 25% L120/12.1 + 50% L71/5.5 cells', '10% N48676.1 + 30% L120/12.1 + 60% L71/5.5 cells', '80% N486/76.1 + 10% L120/12.1 + 10% L71/5.5 cells', '60% N486/76.1 + 10% L120/12.1 + 30% L71/5.5 cells', '20% N486/76.1 + 70% L120/12.1 + 10% L71/5.5 cells', '25% N486/76.1 + 25% L120/12.1 + 50% L71/5.5 RNA', '10% N48676.1 + 30% L120/12.1 + 60% L71/5.5 RNA', '20% N486/76.1 + 70% L120/12.1 + 10% L71/5.5 RNA', 'positivecontrol_L120/12.1', 'positivecontrol_L120/12.1', 'P65RNA_25% N486/76.1 + 25% L120/12.1 + 50% L71/5.5', 'P65RNA_10% N486/76.1 + 30% L120/12.1 + 60% L71/5.5', 'P65RNA_80% N486/76.1 + 10% L120/12.1 + 10% L71/5.5', 'P65RNA_60% N486/76.1 + 10% L120/12.1 + 30% L71/5.5', 'P65RNA_20% N486/76.1 + 70% L120/12.1 + 10% L71/5.5', 'P65RNA_RNA: 25% N486/76.1 + 25% L120/12.1 + 50% L71/5.5', 'RNA: 10% N48676.1 + 30% L120/12.1 + 60% L71/5.5', 'p65RNA_RNA: 60% N486/76.1 + 10% L120/12.1 + 30% L71/5.5', 'P65RNA_RNA: 20% N486/76.1 + 70% L120/12.1 + 10% L71/5.5', 'L120/12.1']"
7,2.0,"['19', '19', '19']","['N123/19.1', 'N123/19.2', 'N123/19.3']"
8,2.0,"['4', '4', '4', '4', '4']","['L106/4.2.9.2', 'L106/4.2.9', 'L106/4.2', 'L106/4.2.9.2', 'L106/4.2.9.4']"
9,2.0,"['36', '36', '36', '36', '36']","['L86/36.6', 'L86/36.2', 'L86/36.3', 'L86/36.5', 'L86/36.1']"
