,title,title_link,publication_info,snippet,cited_by_link,cited_by_count,pdf_file,year
0,Preoperative and Postoperative Growth Rates in Acoustic Neuromas Documented with CT Scanning,https://onlinelibrary.wiley.com/doi/abs/10.1177/019459988509300204,"J Wazen, H Silverstein, H Norrell… - … –Head and Neck …, 1985 - Wiley Online Library","Sequential computerized tomography (CT) allows us to determine the growth rate of acoustic 
neuromas. Prior to CT scanning, a variability in tumor growth rates was recognized on the …","https://scholar.google.com/scholar?cites=15010340806805961810&as_sdt=5,47&sciodt=0,47&hl=en",138.0,,1985
0,Sensory nerve neuromas—leading to failed foot surgery,https://journals.sagepub.com/doi/pdf/10.1177/107110078600700209,"JE Kenzora - Foot & Ankle, 1986 - journals.sagepub.com","Sensory nerve neuromas caused by incisions on the dorsum of the foot are a common cause 
of failed foot surgery and can be severely painful and disabling. Thirty-seven patients with …","https://scholar.google.com/scholar?cites=8607069288705258176&as_sdt=5,47&sciodt=0,47&hl=en",51.0,,1986
1,Development of an indirect flight muscle in a muscle-specific mutant of Drosophila melanogaster,https://www.sciencedirect.com/science/article/pii/0012160686900928,"WJ Costello, RJ Wyman - Developmental biology, 1986 - Elsevier","Stripe (sr) is a highly specific mutant affecting only one of the indirect flight muscles, the 
dorsal longitudinal muscle (DLM). In the homozygous condition the DLM is reduced in size. In …","https://scholar.google.com/scholar?cites=2130206944803116007&as_sdt=5,47&sciodt=0,47&hl=en",67.0,,1986
2,Present status of lasers in neurosurgery,https://link.springer.com/chapter/10.1007/978-3-7091-7010-6_1,"JM Tew, WD Tobler - Advances and technical standards in neurosurgery, 1986 - Springer","The application of laser technology to medicine and surgery has lagged behind industrial, 
recreational and military development. Acceptance has been slow in neurological surgery …","https://scholar.google.com/scholar?cites=11914475947824389206&as_sdt=5,47&sciodt=0,47&hl=en",31.0,,1986
0,Postamputation neuromas and other symptomatic stump abnormalities: detection with CT.,https://pubs.rsna.org/doi/abs/10.1148/radiology.162.3.3809488,"RD Singson, F Feldman, CW Slipman, E Gonzalez… - Radiology, 1987 - pubs.rsna.org","One of the potentially troublesome sequelae of limb amputations is the development of 
stump neuromas at the severed ends of major nerves. The ability to define them and to …","https://scholar.google.com/scholar?cites=2370954808927718189&as_sdt=5,47&sciodt=0,47&hl=en",43.0,,1987
1,Hypoglossal‐facial nerve anastomosis and electromyographic feedback rehabilitation,https://onlinelibrary.wiley.com/doi/abs/10.1288/00005537-198706000-00011,"PE Hammerschlag, J Brudny, R Cusumano… - The …, 1987 - Wiley Online Library","Electromyographic (EMG) feedback has been proposed to enhance rehabilitation following 
hypoglossal‐facial nerve anastomosis. Sixteen of 25 patients who underwent hypoglossal‐…","https://scholar.google.com/scholar?cites=10987241010728813932&as_sdt=5,47&sciodt=0,47&hl=en",56.0,https://onlinelibrary.wiley.com/doi/pdf/10.1288/00005537-198706000-00011,1987
2,The numbers of unmyelinated and myelinated axons in normal and regenerated rat saphenous nerves,https://www.sciencedirect.com/science/article/pii/0022510X87901523,"DA Carter, SJW Lisney - Journal of the neurological sciences, 1987 - Elsevier","Counts have been made of the numbers of unmyelinated and myelinated axons in the 
proximal and distal stumps of regenerated rat saphenous nerves and from equivalent sites in …","https://scholar.google.com/scholar?cites=11981050771847118224&as_sdt=5,47&sciodt=0,47&hl=en",57.0,,1987
3,Magnetic resonance imaging of head and neck tumors,https://link.springer.com/content/pdf/10.1007/978-1-4613-2029-6.pdf#page=115,"KE Kortman, JT Helsper, WS Wong… - Cancers of the Head and …, 1987 - Springer","Effective therapy of head and neck tumors depends on accurate assessment of tumor size, 
extent, and nodal spread. Physical and endoscopic examination remain the foundation of the …",,,http://ndl.ethernet.edu.et/bitstream/123456789/11471/1/Charlotte%20Jacobs.pdf#page=114,1987
4,"[CITATION][C] Radiology of ear, nose and throat",,"PD Phelps - … Otolaryngology, Scott-Brown's Otolaryngology, 5th edn …, 1987",,"https://scholar.google.com/scholar?cites=1938707172276548495&as_sdt=5,47&sciodt=0,47&hl=en",4.0,,1987
0,Tumors of the Posterior Fossa and Skull Base in Adults,https://link.springer.com/chapter/10.1007/978-1-4613-1763-0_7,"JH Robertson, WC Clark - Lasers in Neurosurgery, 1988 - Springer","Posterior fossa tumors in adults may be subdivided into those related to the cerebellum and 
those in the cerebellopontine angle (CPA). The most common cerebellar tumors are …",,,,1988
1,End-to-side nerve flap for treatment of painful neuroma: a 15-year follow-up,https://www.degruyter.com/document/doi/10.1515/jom-1988-880507/html,"L Ashley, JO Stallings - The Journal of the American Osteopathic …, 1988 - degruyter.com","Traumatic neuromas are notorious for the rate at which they recur after excision. A method 
involving resection of the neuroma, creation of a proximal endto-side nerve flap, and burial of …","https://scholar.google.com/scholar?cites=11331317050977581713&as_sdt=5,47&sciodt=0,47&hl=en",27.0,https://www.degruyter.com/document/doi/10.1515/jom-1988-880507/pdf,1988
2,The proportions of sympathetic postganglionic and unmyelinated afferent axons in normal and regenerated cat sural nerves,https://www.sciencedirect.com/science/article/pii/0165183888900884,"SJW Lisney - Journal of the autonomic nervous system, 1988 - Elsevier","Electrophysiological experiments have been carried out to see if the proportions of sympathetic 
postganglionic and unmyelinated afferent axons in a cutaneous nerve were changed …","https://scholar.google.com/scholar?cites=16200183333472816052&as_sdt=5,47&sciodt=0,47&hl=en",4.0,,1988
0,"The effect of intravenous lidocaine, tocainide, and mexiletine on spontaneously active fibers originating in rat sciatic neuromas",https://www.sciencedirect.com/science/article/pii/0304395989902200,"C Chabal, LC Russell, KJ Burchiel - Pain, 1989 - Elsevier","The effects of intravenously administered subanesthetic concentrations of lidocaine, tocainide, 
and mexiletine on spontaneously active fibers (SAFs) originating in 7-day-old rat sciatic …","https://scholar.google.com/scholar?cites=13016133936732725487&as_sdt=5,47&sciodt=0,47&hl=en",287.0,,1989
1,Vestibular investigations in acoustic neuroma,https://www.tandfonline.com/doi/abs/10.3109/00016488909107390,"JH Hulshof, CGJM Hilders, EA Baarsma - Acta oto-laryngologica, 1989 - Taylor & Francis","Forty-eight patients with surgically proven acoustic neuroma were examined preoperatively 
with a comprehensive battery of vestibular tests. In 87% of the patients, reduced caloric …","https://scholar.google.com/scholar?cites=3026575269127259827&as_sdt=5,47&sciodt=0,47&hl=en",22.0,,1989
2,Epithelial membrane antigen expression by the perineurial cell: further studies of peripheral nerve lesions,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2559.1989.tb02199.x,"JM Theaker, CDM Fletcher - Histopathology, 1989 - Wiley Online Library","We have previously shown that a range of anti‐epithelial membrane antigen monoclonal 
antibodies show immunoreactivity with the perineurial fibroblast, both in normal nerves and …","https://scholar.google.com/scholar?cites=4072650025786056118&as_sdt=5,47&sciodt=0,47&hl=en",69.0,,1989
3,Changes in lectin binding of lumbar dorsal root ganglia neurons and peripheral axons after sciatic and spinal nerve injury in the rat,https://link.springer.com/article/10.1007/BF00261840,"JM Peyronnard, L Charron, JP Messier, J Lavoie… - Cell and tissue …, 1989 - Springer","The effects of chronic lesions of rat lumbar spinal or sciatic nerves on the binding of Glycine 
max (soybean) agglutinin to galacto-conjugates, in small-and medium-size primary sensory …","https://scholar.google.com/scholar?cites=5529022862985122027&as_sdt=5,47&sciodt=0,47&hl=en",21.0,,1989
4,[CITATION][C] Electrical stimulation: a method of treatment for facial paralysis,,"DJ Farragher, ZF Rose, R Jones - … stimulation: basic concepts and clinical implications, 1989",,"https://scholar.google.com/scholar?cites=3558343654516519102&as_sdt=5,47&sciodt=0,47&hl=en",15.0,,1989
5,Ear,https://link.springer.com/content/pdf/10.1007/978-1-4471-1699-8_1.pdf,"KP Gibbin, PJ Bradley, KP Gibbin… - Ear, Nose and Throat …, 1989 - Springer","… is a symptom of acoustic neuroma b. is usually caused by cochlear hearing loss and may 
be a symptom of endolymphatic hydrops c. is the term applied when a patient with a hearing …",,,,1989
0,Jugular foramen neuromas: a review of 14 cases,https://www.sciencedirect.com/science/article/pii/009030199090130H,"LC Tan, L Bordi, L Symon, AD Cheesman - Surgical Neurology, 1990 - Elsevier","We present 14 patients with jugular foramen neuromas treated in the professorial unit at the 
National Hospital, Queen Square, in the 20-year period from 1969 to 1989. The growth …","https://scholar.google.com/scholar?cites=6223055817142667784&as_sdt=5,47&sciodt=0,47&hl=en",109.0,,1990
1,Pain and the pathophysiology of damaged nerve,https://www.sciencedirect.com/science/article/pii/B9780407011243500095,"M Devor, ZH Rappaport - Pain syndromes in neurology, 1990 - Elsevier","Publisher Summary This chapter describes pathophysiologic processes through which 
damaged nerves can come to contribute actively to chronic pain both by injecting abnormal …","https://scholar.google.com/scholar?cites=10150523971805505025&as_sdt=5,47&sciodt=0,47&hl=en",109.0,,1990
2,End structure and neuropeptide immunoreactivity of axons in sciatic neuromas following nerve section in neonatal rats,https://www.sciencedirect.com/science/article/pii/S0014488605800196,"K Fried, J Frisen - Experimental neurology, 1990 - Elsevier","The formation of neuromas after neonatal nerve injury was studied in rats. In neonatal pups, 
the sciatic nerve was cut and tightly ligated, and a portion of the distal stump was removed. …","https://scholar.google.com/scholar?cites=5902157185269812676&as_sdt=5,47&sciodt=0,47&hl=en",22.0,,1990
3,Hemimegalencephaly and neurofibromatosis,https://www.thieme-connect.com/products/ejournals/abstract/10.1055/s-2008-1071490,"R Cusmai, P Curatolo, S Mangano… - …, 1990 - thieme-connect.com","Hemimegalencephaly, which previously has been associated with a poor clinical course 
characterized by intractable seizures and severe encephalopathy, was found without these …","https://scholar.google.com/scholar?cites=13832174449648223356&as_sdt=5,47&sciodt=0,47&hl=en",68.0,,1990
4,General Aspects of the MR Signal Pattern of Certain Normal and Pathologic Structures,https://link.springer.com/chapter/10.1007/978-3-642-72568-5_5,"WJ Huk, G Gademann, G Friedmann, WJ Huk… - … Resonance Imaging of …, 1990 - Springer","Edema is the primary response of the brain tissue to a variety of insults. In explaining and 
describing brain edema, we recognize the existence of three types: vasogenic edema, …","https://scholar.google.com/scholar?cites=10539413835954674794&as_sdt=5,47&sciodt=0,47&hl=en",1.0,,1990
0,Facial nerve imaging,https://www.sciencedirect.com/science/article/pii/S0030666520311166,"PA Leslie, SJ Zinreich - Otolaryngologic Clinics of North America, 1991 - Elsevier","A review of past, present, and potential future imaging of the facial nerve outlines the general 
technologic advances in radiology. The newer modalities provide more information than …","https://scholar.google.com/scholar?cites=14050360622007852312&as_sdt=5,47&sciodt=0,47&hl=en",14.0,,1991
1,Pathophysiology of injured axons,https://www.sciencedirect.com/science/article/pii/S1042368018307605,"KJ Burchiel, JL Ochoa - Neurosurgery Clinics of North America, 1991 - Elsevier","The classification of nerve injury as neuropraxic, axonometic, or neurometic is reviewed. 
The positive and negative signs of nerve injury and the effects of nerve repair or release are …","https://scholar.google.com/scholar?cites=9430814761612838836&as_sdt=5,47&sciodt=0,47&hl=en",23.0,,1991
0,Axonal cross-excitation in nerve-end neuromas: comparison of A-and C-fibers,https://journals.physiology.org/doi/abs/10.1152/jn.1992.68.4.1160,"R Amir, M Devor - Journal of neurophysiology, 1992 - journals.physiology.org","1. We recorded from single afferent axons ending in chronic sciatic nerve end neuromas in 
rats with the use of the teased-fiber method. Axons were sought that had ongoing impulse …","https://scholar.google.com/scholar?cites=16344728759356338780&as_sdt=5,47&sciodt=0,47&hl=en",58.0,,1992
1,TREATMENT OF NEUROFIBROMATOSIS: 2 Case Reports,https://www.koreascience.or.kr/article/JAKO199219756109090.page,"SG Kim, HH Yeo, YG Kim, BH Ahn - Maxillofacial Plastic and …, 1992 - koreascience.or.kr","Tumors arising from nerve tissue are uncommon in the oral maxillofacial regions. Neurofibroma, 
a benign neurogenic tumor, can occur as circumscribed solitary or multiple lesions. A …",,,https://www.koreascience.or.kr/article/JAKO199219756109090.pdf,1992
